energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,7.05479554464645,6.066598010766522,7.6841666990579105,0.0,0.0,-0.9822789040990568,6.935186751490295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2440999999999995
0.0142,7.05488618883745,6.066651704089669,7.68426231271348,0.0,0.0,-0.982316288352653,6.935266735213534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1426.4532487600163,0.0,
0.0285,7.055160711489195,6.066814313134986,7.684551885608233,0.0,0.0,-0.9824295153800581,6.935508970077471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2863.1169377533647,0.0,
0.0427,7.055615369050326,6.067083605097009,7.6850314685169705,0.0,0.0,-0.9826170591461617,6.935910147554768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4290.061817812679,0.0,
0.057,7.056256726727978,6.067463442622812,7.685707985835194,0.0,0.0,-0.98288165808562,6.936476051728661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5727.551413820276,0.0,
0.0712,7.057076038893048,6.067948610220274,7.686572211497915,0.0,0.0,-0.9832197462330104,6.937198953537078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7155.645468741005,0.0,
0.0855,7.058085136871639,6.068546067186208,7.687636624149808,0.0,0.0,-0.9836362605879369,6.938089276069218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8594.62446229631,0.0,
0.0997,7.059270261334452,6.06924761022695,7.688886708759141,0.0,0.0,-0.9841255884333397,6.939134860106847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10024.528289038364,0.0,
0.1139,7.060638244195915,6.070057217662976,7.690329670090017,0.0,0.0,-0.9846906278605407,6.940341710649636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11455.581822377539,0.0,
0.1282,7.0622011436696965,6.070981945715989,7.691978225382231,0.0,0.0,-0.9853364534875779,6.941720438255973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12898.043154652827,0.0,
0.1424,7.06393765227685,6.072009098627218,7.6938098974491345,0.0,0.0,-0.9860543646801541,6.943252216117735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14331.905786228757,0.0,
0.1567,7.0658728519907825,6.0731534120280415,7.695851140778307,0.0,0.0,-0.986854848942669,6.944959134932376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15777.535336875713,0.0,
0.1709,7.0679803631405465,6.0743991766537855,7.698074128159596,0.0,0.0,-0.9877271245016397,6.946817889317976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17214.883113710985,0.0,
0.1852,7.07029063071307,6.075764265858752,7.700510970776872,0.0,0.0,-0.988683936870209,6.948855289116231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18664.366199858097,0.0,
0.1994,7.072772167385767,6.077229941319357,7.703128454360486,0.0,0.0,-0.9897124022421009,6.9510435210218695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20105.884603034912,0.0,
0.2137,7.0754608273612565,6.07881723363234,7.705964395703021,0.0,0.0,-0.990827552594146,6.953414152232206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21559.917016901145,0.0,
0.2279,7.0783199731116895,6.0805043567803825,7.708980149008678,0.0,0.0,-0.9920143769675838,6.9559348263002505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23006.302916556124,0.0,
0.2421,7.081368777328341,6.0823024643347985,7.712195936351278,0.0,0.0,-0.9932810230051169,6.958622392671472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24455.378221833664,0.0,
0.2564,7.084631839090582,6.084225872927412,7.715637703557556,0.0,0.0,-0.9946379370738123,6.9614984718585164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25917.556631651863,0.0,
0.2706,7.088064709027942,6.086248188588715,7.7192585671368565,0.0,0.0,-0.996066864655195,6.964523821584504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27372.56931194411,0.0,
0.2849,7.091717013970413,6.088398438515377,7.723110872582153,0.0,0.0,-0.9975887101552415,6.967742108355981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28841.094489411294,0.0,
0.2991,7.09553901577187,6.0906471205807655,7.7271421599165535,0.0,0.0,-0.9991830097586578,6.9711094320897296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30302.779015338634,0.0,
0.3134,7.099585981936566,6.093026516390941,7.731410725886542,0.0,0.0,-1.0008730979435945,6.9746744080713485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31778.399877636362,0.0,
0.3276,7.103802816534279,6.095503985674382,7.735858461747465,0.0,0.0,-1.002636260495683,6.978388421318709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33247.50973929914,0.0,
0.3418,7.108218707781725,6.098096434915834,7.740516159411594,0.0,0.0,-1.0044849917166694,6.982277100703051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34720.6070628791,0.0,
0.3561,7.112868547469511,6.100824050377946,7.745420628419116,0.0,0.0,-1.0064342560343298,6.986371075422191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36208.30578188142,0.0,
0.3703,7.117689065305704,6.103649426375384,7.750505142559962,0.0,0.0,-1.0084578796368098,6.990614544747017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37689.998423166806,0.0,
0.3846,7.122750026149978,6.106613143481658,7.755843298315898,0.0,0.0,-1.0105855223126738,6.995068822649178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39186.75858589134,0.0,
0.3988,7.127982593032766,6.109674567573337,7.7613625015410985,0.0,0.0,-1.0127886346640917,6.999673220715734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40677.85881012559,0.0,
0.4131,7.133462524484288,6.112877679900269,7.767142676559101,0.0,0.0,-1.0150995288832956,7.004494293647885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42184.51238919962,0.0,
