energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.559140282063624,2.559140282063624,2.5387546975022834,0.0,0.0,0.0,2.552345087209844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3322
0.018,2.5591421140421664,2.5591421140421664,2.538756482426174,0.0,0.0,0.0,2.5523469035035022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0359,2.5591475693550763,2.5591475693550763,2.5387617976183794,0.0,0.0,0.0,2.5523523121095106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0539,2.559156709050458,2.559156709050458,2.53877070255829,0.0,0.0,0.0,2.552361373553069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0718,2.5591694317330242,2.5591694317330242,2.5387830984539725,0.0,0.0,0.0,2.5523739873066735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0898,2.559185879776912,2.559185879776912,2.5387991240211094,0.0,0.0,0.0,2.5523902945249777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1077,2.5592058707084444,2.5592058707084444,2.5388186014710747,0.0,0.0,0.0,2.552410114295988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1257,2.559229628237702,2.559229628237702,2.5388417487654396,0.0,0.0,0.0,2.5524336684136144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1437,2.5592570512764734,2.5592570512764734,2.538868467409771,0.0,0.0,0.0,2.552460856654239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1616,2.5592879574568697,2.5592879574568697,2.5388985797173804,0.0,0.0,0.0,2.5524914982103732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
