energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.7195792561556527,2.7385959835751876,2.785198990833737,0.0,0.0,0.0,2.747791410188192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.043699999999999
0.0145,2.7195827459147512,2.738599492002262,2.7852026805157295,0.0,0.0,0.0,2.747794972810914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0289,2.71959311920188,2.738609920782345,2.7852136480795266,0.0,0.0,0.0,2.747805562687917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0434,2.7196105204324486,2.738627415110953,2.785232046235466,0.0,0.0,0.0,2.7478233272596224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0578,2.719634710153979,2.7386517342670142,2.785257621848208,0.0,0.0,0.0,2.747848022089734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0723,2.7196660251323763,2.7386832168360247,2.7852907310280184,0.0,0.0,0.0,2.7478799909988063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0868,2.719704322486412,2.7387217191951296,2.7853312227727023,0.0,0.0,0.0,2.7479190881514146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1012,2.7197492672761543,2.7387669046386005,2.785378743027902,0.0,0.0,0.0,2.7479649716475527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1157,2.7198014852170713,2.7388194022650856,2.78543395345768,0.0,0.0,0.0,2.748018280313279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1302,2.7198606899960334,2.7388789242667633,2.785496551451338,0.0,0.0,0.0,2.7480787219047116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1446,2.719926403118701,2.738944989627108,2.78556603120882,0.0,0.0,0.0,2.7481458079848764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1591,2.7199995394356318,2.7390185181485625,2.785643360155979,0.0,0.0,0.0,2.748220472580057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
