energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.0849843543133284,2.8662802533019036,3.135618801918216,0.0,0.0,0.0,3.0289611365111493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.266500000000001
0.0163,3.084988874771695,2.866283667060565,3.1356226285983695,0.0,0.0,0.0,3.0289650568102098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0326,3.0850024363454205,2.8662939084718335,3.135634108760383,0.0,0.0,0.0,3.028976817859212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.049,3.085025206208111,2.8663111037369977,3.1356533837785383,0.0,0.0,0.0,3.0289965645745496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0653,3.085056907678015,2.8663350438385993,3.13568021920315,0.0,0.0,0.0,3.029024056906588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0816,3.0850976532527303,2.8663658136292716,3.1357147099384735,0.0,0.0,0.0,3.029059392273492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0979,3.0851474447230625,2.866403414328972,3.1357568570799823,0.0,0.0,0.0,3.0291025720440055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1142,3.0852062842777843,2.8664478474287254,3.135806661966522,0.0,0.0,0.0,3.0291535978910105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1306,3.085274618947517,2.8664994503103545,3.135864502364221,0.0,0.0,0.0,3.029212857207364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1469,3.0853516183849217,2.8665575957156655,3.1359296747384633,0.0,0.0,0.0,3.0292796296130167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1632,3.085437674886538,2.8666225796382925,3.136002510349325,0.0,0.0,0.0,3.029354254958052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1795,3.085532792239376,2.8666944046580864,3.1360830115121967,0.0,0.0,0.0,3.029436736136553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1958,3.08563697463081,2.8667730736275705,3.1361711807868526,0.0,0.0,0.0,3.0295270763484115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2122,3.0857509494483955,2.8668591354497197,3.1362676326352408,0.0,0.0,0.0,3.0296259058444517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2285,3.085873331771933,2.8669515440075943,3.136371193880951,0.0,0.0,0.0,3.029732023220159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2448,3.086004794138546,2.867050806736759,3.1364824324076106,0.0,0.0,0.0,3.029846011094305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2611,3.0861453423460747,2.8671569275869206,3.1366013517568843,0.0,0.0,0.0,3.0299678738966267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2775,3.086295928708988,2.867270625119972,3.1367287561530235,0.0,0.0,0.0,3.0300984366606607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2938,3.086454723450254,2.8673905173054868,3.136863095939348,0.0,0.0,0.0,3.0302361122316963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3101,3.086622623898543,2.8675172811457506,3.1370051286778518,0.0,0.0,0.0,3.030381677907382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3264,3.0867996374764806,2.8676509216974715,3.137154858898239,0.0,0.0,0.0,3.030535139357397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3427,3.086985772014944,2.8677914442955146,3.137312291377999,0.0,0.0,0.0,3.030696502562819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3591,3.087182261884495,2.8679397801805973,3.1374784680681396,0.0,0.0,0.0,3.030866836711077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3754,3.0873867195638827,2.8680941263033017,3.13765136772611,0.0,0.0,0.0,3.031044071197764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3917,3.087600324215414,2.868255372193279,3.137831985502767,0.0,0.0,0.0,3.03122922730382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.408,3.0878230853183326,2.8684235243085228,3.138020327173817,0.0,0.0,0.0,3.0314223122668906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4243,3.0880550127668545,2.868598589389867,3.1382163987656573,0.0,0.0,0.0,3.031623333640793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4407,3.088297624381917,2.868781712306913,3.1384214808001705,0.0,0.0,0.0,3.0318336058296667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.457,3.0885479722703333,2.8689706672012103,3.1386330788409174,0.0,0.0,0.0,3.0320505727708205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4733,3.088807518762307,2.8691665570389318,3.13885242643484,0.0,0.0,0.0,3.0322755007453597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4896,3.0890762754305716,2.869369389704749,3.139079530619532,0.0,0.0,0.0,3.0325083985849504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5059,3.08935425427126,2.869579173371868,3.1393143986867686,0.0,0.0,0.0,3.0327492754432988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5223,3.0896432582783437,2.8697972677126993,3.1395585507703196,0.0,0.0,0.0,3.0329996922537874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5386,3.0899397759283054,2.870021021840034,3.139809017249263,0.0,0.0,0.0,3.0332566050058674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5549,3.090245554380978,2.870251753288974,3.1400672710702757,0.0,0.0,0.0,3.0335215262467425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5712,3.0905606073479768,2.870489471402,3.1403333205521595,0.0,0.0,0.0,3.0337944664340455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5875,3.090884948974394,2.8707341858170765,3.140607174272307,0.0,0.0,0.0,3.0340754363545925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6039,3.091220669485441,2.87098747241205,3.1408905932169415,0.0,0.0,0.0,3.0343662450381443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6202,3.0915636898255787,2.8712462526128943,3.141180130202298,0.0,0.0,0.0,3.0346633575469237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6365,3.0919160439801376,2.8715120598838224,3.1414774987775016,0.0,0.0,0.0,3.0349685342138204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6528,3.0922777478539083,2.87178490506247,3.141782708565673,0.0,0.0,0.0,3.035281787160684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6692,3.092651123240779,2.8720665382117065,3.1420977143242967,0.0,0.0,0.0,3.0356051252589276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6855,3.0930316336679993,2.872353536287332,3.1424186847240927,0.0,0.0,0.0,3.035934618226475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7018,3.0934215443190745,2.872647606686262,3.1427475268574923,0.0,0.0,0.0,3.036272225954276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7181,3.0938208728992995,2.8729487614739075,3.143084251410708,0.0,0.0,0.0,3.0366179619279716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7344,3.094229637570317,2.8732570130269703,3.143428869338209,0.0,0.0,0.0,3.0369718399784986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
