energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.1547276761243985,3.085643911672999,2.9147835660499095,0.0,0.0,0.01739787888992517,3.051718384615769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3505
0.0141,3.1547324389401714,3.085648431406506,2.9147873848335943,0.0,0.0,0.01739809209066104,3.051722751726757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0282,3.1547467275597723,3.085661990763276,2.9147988413106436,0.0,0.0,0.017398731709114636,3.0517358532112304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0423,3.154770542500047,3.085684590212063,2.914817935858993,0.0,0.0,0.017399797794027397,3.051757689523701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0564,3.1548038846224458,3.0857162305341728,2.914844669108609,0.0,0.0,0.017401290426644414,3.0517882614217426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0705,3.1548467551332178,3.085756912823546,2.9148790419415405,0.0,0.0,0.01740320972072793,3.0518275699661017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0846,3.1548991555833923,3.08580663848687,2.91492105549199,0.0,0.0,0.017405555822577,3.0518756165207512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0987,3.1549610878690535,3.0858654092437123,2.914970711146429,0.0,0.0,0.017408328911051506,3.051932402753065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1128,3.155032554231506,3.085933227126705,2.915028010543751,0.0,0.0,0.017411529197604216,3.0519979306339877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1268,3.155112949183181,3.086009517454405,2.9150924680476225,0.0,0.0,0.017415129692111706,3.05207164489507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
