energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.6505321929398318,3.5234292674257777,3.6944176316237365,0.0,0.0,0.07099923452074808,3.622793030663115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0035
0.0136,3.6505392805909844,3.523435629995694,3.6944247787939757,0.0,0.0,0.07099950141715139,3.622799896460218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0272,3.650560543859391,3.523454717971641,3.694446220617627,0.0,0.0,0.07100030212062088,3.6228204941495528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0409,3.650596296783428,3.523486813214588,3.6944822737560647,0.0,0.0,0.07100164846410482,3.622855127918027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0545,3.6506460190096877,3.5235314485221134,3.6945324134630186,0.0,0.0,0.07100352086480678,3.62290329366494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0681,3.6507099215970022,3.5235888132450643,3.6945968525371056,0.0,0.0,0.07100592728735977,3.622965195793057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0817,3.650788007385976,3.523658909784128,3.694675593800895,0.0,0.0,0.0710088678603747,3.623040836990333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0953,3.650880279848166,3.523741741073297,3.694768640703785,0.0,0.0,0.07101234274103885,3.6231302205417495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.109,3.6509875784713817,3.523838060482764,3.6948768397169998,0.0,0.0,0.07101638357583859,3.6232341595570485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1226,3.651108341618684,3.523946465917878,3.6949986160288897,0.0,0.0,0.07102093159031042,3.623351141188484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1362,3.651243305686477,3.524067618143834,3.695134712136574,0.0,0.0,0.07102601455756971,3.623481878655628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1498,3.651392476680256,3.5242015222358734,3.695285134007367,0.0,0.0,0.07103163274957834,3.6236263776411657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1634,3.651555861239681,3.524348183804958,3.6954498882385796,0.0,0.0,0.07103778646702452,3.6237846444277397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.177,3.651733466639374,3.524507608998597,3.695628982058475,0.0,0.0,0.07104447603937374,3.6239566858988153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1907,3.6519267640521895,3.5246811179573427,3.6958238988459633,0.0,0.0,0.07105175694249827,3.6241439269518323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2043,3.652132940220516,3.5248661849728027,3.696031801647966,0.0,0.0,0.07105952327548642,3.624343642280428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2179,3.652353362943047,3.525064037341189,3.696254069588343,0.0,0.0,0.07106782662808853,3.6245571566241934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2315,3.652588042049591,3.525274683368232,3.69649071243406,0.0,0.0,0.07107666744560671,3.6247844792839614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2451,3.6528369880107094,3.5254981319007292,3.6967417405886227,0.0,0.0,0.07108604620240164,3.6250256201666873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
