energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,5.008175042079081,5.008175042079081,5.30830496843794,0.0,0.0,0.0,5.108218350865368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0217
0.0168,5.008187512056593,5.008187512056593,5.308321417177894,0.0,0.0,0.0,5.108232147097027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0335,5.008224626136301,5.008224626136301,5.3083703733259755,0.0,0.0,0.0,5.10827320853286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0503,5.008286830639688,5.008286830639688,5.30845242615038,0.0,0.0,0.0,5.108342029143252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0671,5.00837398063926,5.00837398063926,5.3085673853828785,0.0,0.0,0.0,5.108438448887132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0839,5.008486080455484,5.008486080455484,5.308715257984944,0.0,0.0,0.0,5.108562472965303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1006,5.008622245999063,5.008622245999063,5.308894879331997,0.0,0.0,0.0,5.108713123776707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1174,5.008784114754272,5.008784114754272,5.309108411469953,0.0,0.0,0.0,5.108892213659499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1342,5.0089709536651,5.0089709536651,5.309354889753147,0.0,0.0,0.0,5.109098932361116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.151,5.009182772000824,5.009182772000824,5.309634329120467,0.0,0.0,0.0,5.109333291040705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1677,5.009418096745064,5.009418096745064,5.309944789285521,0.0,0.0,0.0,5.109593660925216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1845,5.009679757851162,5.009679757851162,5.310290007182415,0.0,0.0,0.0,5.109883174294913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2013,5.009966433567525,5.009966433567525,5.31066824288033,0.0,0.0,0.0,5.110200370005127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2181,5.01027813813426,5.01027813813426,5.311079519338186,0.0,0.0,0.0,5.110545265202235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2348,5.0106128084578625,5.0106128084578625,5.311521118762061,0.0,0.0,0.0,5.110915578559262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2516,5.0109744692208436,5.0109744692208436,5.311998356626252,0.0,0.0,0.0,5.111315765022646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2684,5.011361208950004,5.011361208950004,5.312508716071229,0.0,0.0,0.0,5.111743711323746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2852,5.011773046890419,5.011773046890419,5.313052228141871,0.0,0.0,0.0,5.112199440640903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3019,5.012207328259395,5.012207328259395,5.313625394948576,0.0,0.0,0.0,5.112680017155789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3187,5.012669275687659,5.012669275687659,5.314235115710478,0.0,0.0,0.0,5.113191222361932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3355,5.0131563864934465,5.0131563864934465,5.314878094255116,0.0,0.0,0.0,5.11373028908067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3523,5.013668684972952,5.013668684972952,5.315554369802912,0.0,0.0,0.0,5.114297246582939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.369,5.0142029225763975,5.0142029225763975,5.316259661031208,0.0,0.0,0.0,5.114888502061334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3858,5.014765524068887,5.014765524068887,5.317002457675947,0.0,0.0,0.0,5.1155111686045736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4026,5.015353393608398,5.015353393608398,5.317778681120878,0.0,0.0,0.0,5.116161822779224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
