energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.4435440271065523,2.4435440271065523,2.341603191787006,0.0,0.0,0.0,2.4095637486667036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0268
0.0172,2.443546200775791,2.443546200775791,2.3416051788690027,0.0,0.0,0.0,2.409565860140195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0344,2.4435527218375244,2.4435527218375244,2.3416111401654387,0.0,0.0,0.0,2.409572194613496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0516,2.4435635904538153,2.4435635904538153,2.341621075827664,0.0,0.0,0.0,2.409582752245098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0689,2.443578908075623,2.443578908075623,2.341635078603587,0.0,0.0,0.0,2.4095976315849446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0861,2.4435984980009553,2.4435984980009553,2.341652986966604,0.0,0.0,0.0,2.4096166609895047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1033,2.4436224366185364,2.4436224366185364,2.34167487075793,0.0,0.0,0.0,2.409639914665001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1205,2.443650724523417,2.443650724523417,2.3417007305332995,0.0,0.0,0.0,2.4096673931933776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1377,2.443683362418798,2.443683362418798,2.3417305669494732,0.0,0.0,0.0,2.4096990972623566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1549,2.4437203511161663,2.4437203511161663,2.341764380764295,0.0,0.0,0.0,2.4097350276655427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1722,2.443761944612369,2.443761944612369,2.3418024041918937,0.0,0.0,0.0,2.4097754311388773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1894,2.4438076630912002,2.4438076630912002,2.3418441986202496,0.0,0.0,0.0,2.4098198416008834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2066,2.443857735463333,2.443857735463333,2.3418899733344523,0.0,0.0,0.0,2.409868481420373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2238,2.4439121629745015,2.4439121629745015,2.3419397294979856,0.0,0.0,0.0,2.409921351815663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.241,2.443970946979042,2.443970946979042,2.341993468375791,0.0,0.0,0.0,2.409978454111292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
