energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.8073968095955806,2.852723583535502,2.6625424131863094,0.0,0.0,-0.058169569055767735,2.7742209354391307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.736400000000001
0.0167,2.80740006735269,2.8527269939195623,2.662545294082692,0.0,0.0,-0.058169742130262395,2.7742241184516483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.23342984958555,0.0,
0.0335,2.8074099188710635,2.8527373069897908,2.6625540059710655,0.0,0.0,-0.0581702655111559,2.7742337439439733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,818.915055314819,0.0,
0.0502,2.8074262471689524,2.8527544002990775,2.662568445413794,0.0,0.0,-0.058171132984725135,2.774249697627275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1227.1594717011578,0.0,
0.067,2.807449248296064,2.8527784791081734,2.6625887858010913,0.0,0.0,-0.058172354968452133,2.774272171068443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1637.859525531859,0.0,
0.0837,2.807478649125844,2.852809257529354,2.662614785628387,0.0,0.0,-0.05817391695461002,2.7743008974278616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2046.1295934509578,0.0,
0.1004,2.8075145679500766,2.8528468594424186,2.6626465495381817,0.0,0.0,-0.05817582523114842,2.7743359923102253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2454.4179275244105,0.0,
0.1172,2.807557279614283,2.8528915726288977,2.662684320626621,0.0,0.0,-0.058178094404238684,2.774377724289934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2865.17321871421,0.0,
0.1339,2.8076062769398273,2.852942866209601,2.662727650432161,0.0,0.0,-0.05818069753364929,2.7744255978605294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3273.509188246831,0.0,
0.1506,2.807661796129016,2.853000987531505,2.662776747892521,0.0,0.0,-0.05818364717398841,2.774479843851014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3681.8743867632356,0.0,
0.1674,2.8077242300310896,2.8530663479457132,2.662831960485059,0.0,0.0,-0.0581869642033923,2.774540846153954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4092.718067213687,0.0,
0.1841,2.8077928372771552,2.8531381714298885,2.6628926326638807,0.0,0.0,-0.058190609241232795,2.774607880456975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4501.152902044856,0.0,
0.2009,2.8078684416193544,2.8532173204613507,2.662959492988869,0.0,0.0,-0.0581946260608147,2.774681751689858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4912.074025827574,0.0,
0.2176,2.8079501452979825,2.8533028553071667,2.663031747620253,0.0,0.0,-0.058198966973457805,2.774761582741801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5320.593192108144,0.0,
0.2343,2.808038381273138,2.8533952293530973,2.663109779540238,0.0,0.0,-0.05820365499155248,2.774847796722158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5729.159891067444,0.0,
0.2511,2.8081337394031696,2.853495060265158,2.6631941105028547,0.0,0.0,-0.058208721465321606,2.774940970057061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6140.224754995102,0.0,
0.2678,2.8082350873654836,2.8536011627582223,2.6632837392402333,0.0,0.0,-0.05821410624441426,2.7750399964546464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6548.897831897248,0.0,
0.2846,2.8083436420272196,2.8537148109472588,2.6633797420313856,0.0,0.0,-0.058219873994862975,2.775146065001955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6960.077119042826,0.0,
0.3013,2.808458114366813,2.8538346554983107,2.6634809790302976,0.0,0.0,-0.05822595624067432,2.775257916298474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7368.871306758015,0.0,
0.318,2.808579134436303,2.8539613562034436,2.6635880075729177,0.0,0.0,-0.058232386470976755,2.775376166070888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7777.731377850109,0.0,
0.3348,2.8087074895576105,2.854095737543384,2.6637015241105395,0.0,0.0,-0.05823920653388221,2.775501583737178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8189.109898165801,0.0,
0.3515,2.8088416555951454,2.8542362040269698,2.6638201808604975,0.0,0.0,-0.058246335460272,2.775632680160871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8598.11319404945,0.0,
0.3682,2.8089823810326484,2.8543835394867676,2.663944639936366,0.0,0.0,-0.05825381303550071,2.775770186818594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9007.193409458618,0.0,
0.385,2.8091305719048307,2.8545386927528984,2.6640757028268975,0.0,0.0,-0.05826168741989032,2.7759149891615422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9418.804536567912,0.0,
0.4017,2.809284468545287,2.854699821719354,2.664211813428115,0.0,0.0,-0.058269865127426,2.7760653678975853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9828.050141755133,0.0,
0.4185,2.809445918779933,2.854868861297029,2.6643546061994767,0.0,0.0,-0.0582784443650885,2.776223128758813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10239.83510177566,0.0,
0.4352,2.8096130055013844,2.8550438045163373,2.664502385774119,0.0,0.0,-0.058287323278899676,2.77638639859728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10649.2609204194,0.0,
0.4519,2.8097866751375262,2.8552256425537283,2.664655989408413,0.0,0.0,-0.058296552179276005,2.776556102366556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11058.782122397246,0.0,
0.4687,2.8099680322336216,2.8554155322058428,2.664816394257729,0.0,0.0,-0.05830618978378979,2.776733319565731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11470.85552428993,0.0,
0.4854,2.8101549233117398,2.8556112189660157,2.664981695858523,0.0,0.0,-0.058316121673697915,2.7769159460454262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11880.579207433067,0.0,
0.5022,2.8103495923759,2.8558150527506267,2.6651538792227565,0.0,0.0,-0.05832646712271175,2.7771061747830945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12292.863793189337,0.0,
0.5189,2.8105497278859968,2.8560246135071043,2.665330900050278,0.0,0.0,-0.05833710330873074,2.7773017471477934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12702.80485713777,0.0,
0.5356,2.810756474947519,2.856241100562903,2.665513771419812,0.0,0.0,-0.058348091108779324,2.777503782310078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13112.859862846299,0.0,
