energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,4.211171927290785,4.211171927290785,4.1264308850324625,0.0,0.0,0.0,4.182924913204677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.774
0.0165,4.211192338686821,4.211192338686821,4.126448903379568,0.0,0.0,0.0,4.182944526917737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.033,4.211253575476604,4.211253575476604,4.12650296040084,0.0,0.0,0.0,4.18300337045135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0495,4.21135564546593,4.21135564546593,4.126593062036851,0.0,0.0,0.0,4.183101450989571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0661,4.211499552388093,4.211499552388093,4.126720092718122,0.0,0.0,0.0,4.1832397324981025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0826,4.211683580758954,4.211683580758954,4.126882535905807,0.0,0.0,0.0,4.183416565807905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0991,4.211908497173429,4.211908497173429,4.127081065440457,0.0,0.0,0.0,4.183632686595772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1156,4.212174330339765,4.212174330339765,4.127315703162425,0.0,0.0,0.0,4.183888121280652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1321,4.2124811142080425,4.2124811142080425,4.1275864748960185,0.0,0.0,0.0,4.184182901104035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1486,4.212828887984166,4.212828887984166,4.127893410458141,0.0,0.0,0.0,4.184517062142158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1652,4.213220177758315,4.213220177758315,4.1282387336932445,0.0,0.0,0.0,4.184893029736625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1817,4.213650319232092,4.213650319232092,4.128618322117516,0.0,0.0,0.0,4.1853063201939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1982,4.2141216002897615,4.2141216002897615,4.129034188149705,0.0,0.0,0.0,4.185759129576409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2147,4.214634081377154,4.214634081377154,4.129486377715548,0.0,0.0,0.0,4.186251513489952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2312,4.215187828299239,4.215187828299239,4.129974940797283,0.0,0.0,0.0,4.186783532465253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2477,4.215782912247503,4.215782912247503,4.130499931450502,0.0,0.0,0.0,4.187355251981836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2643,4.216423393811796,4.216423393811796,4.131064922067398,0.0,0.0,0.0,4.187970569896997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2808,4.217101638834455,4.217101638834455,4.131663168118266,0.0,0.0,0.0,4.188622148595726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2973,4.217821467633309,4.217821467633309,4.132298028953317,0.0,0.0,0.0,4.189313654739978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3138,4.218582973300179,4.218582973300179,4.13296957514443,0.0,0.0,0.0,4.190045173914929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3303,4.219386254485947,4.219386254485947,4.133677881443063,0.0,0.0,0.0,4.190816796804985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3468,4.220231415442129,4.220231415442129,4.134423026805781,0.0,0.0,0.0,4.191628619230013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3633,4.2211185660652175,4.2211185660652175,4.135205094421201,0.0,0.0,0.0,4.192480742183879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3799,4.222053582406586,4.222053582406586,4.136029248858895,0.0,0.0,0.0,4.193378804557356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3964,4.22302532116942,4.22302532116942,4.136885652764699,0.0,0.0,0.0,4.194312098367846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4129,4.224039414427146,4.224039414427146,4.137779254771397,0.0,0.0,0.0,4.1952860278752295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4294,4.22509599518548,4.22509599518548,4.138710155324365,0.0,0.0,0.0,4.196300715231775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4459,4.226195202355826,4.226195202355826,4.139678459260048,0.0,0.0,0.0,4.197356287990567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4624,4.2273371808153986,4.2273371808153986,4.140684275842459,0.0,0.0,0.0,4.1984528791577524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.479,4.228529393859117,4.228529393859117,4.14173415764729,0.0,0.0,0.0,4.199597648455175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4955,4.229757635288423,4.229757635288423,4.14281557434343,0.0,0.0,0.0,4.200776948306759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.512,4.231029120088079,4.231029120088079,4.143934859192881,0.0,0.0,0.0,4.20199769978968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5285,4.232344017697938,4.232344017697938,4.145092139597351,0.0,0.0,0.0,4.203260058331075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.545,4.233702503869903,4.233702503869903,4.146287547594897,0.0,0.0,0.0,4.204564185111567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5615,4.235104760746363,4.235104760746363,4.147521219906766,0.0,0.0,0.0,4.205910247133164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5781,4.236559876300641,4.236559876300641,4.148801124932692,0.0,0.0,0.0,4.207306959177991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5946,4.238050515199186,4.238050515199186,4.15011198912069,0.0,0.0,0.0,4.208737673173021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6111,4.239585511650915,4.239585511650915,4.151461557315324,0.0,0.0,0.0,4.210210860205718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6276,4.241165074253463,4.241165074253463,4.152849985508793,0.0,0.0,0.0,4.211726711338573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6441,4.242789418439246,4.242789418439246,4.154277434640637,0.0,0.0,0.0,4.21328542383971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6606,4.244458766574946,4.244458766574946,4.155744070656631,0.0,0.0,0.0,4.214887201268841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6771,4.246173348065206,4.246173348065206,4.157250064569623,0.0,0.0,0.0,4.216532253566679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6937,4.247944205554185,4.247944205554185,4.158805080251881,0.0,0.0,0.0,4.21823116378675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7102,4.24975024847158,4.24975024847158,4.160390564845988,0.0,0.0,0.0,4.219963687263049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7267,4.251602257825253,4.251602257825253,4.162015952566891,0.0,0.0,0.0,4.221740156072466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7432,4.253500492333766,4.253500492333766,4.163681435381207,0.0,0.0,0.0,4.2235608066829124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7597,4.25544521833404,4.25544521833404,4.165387210661127,0.0,0.0,0.0,4.225425882443068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7762,4.257436709910823,4.257436709910823,4.167133481258808,0.0,0.0,0.0,4.227335633693484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7928,4.259487747832679,4.259487747832679,4.168931410256967,0.0,0.0,0.0,4.2293023019741085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8093,4.26157391227815,4.26157391227815,4.170759551006723,0.0,0.0,0.0,4.231302458521008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8258,4.263707714239361,4.263707714239361,4.172628830646033,0.0,0.0,0.0,4.233348086374918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8423,4.26588946023466,4.26588946023466,4.1745394747808575,0.0,0.0,0.0,4.235439465083393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8588,4.268119465252985,4.268119465252985,4.176491714910045,0.0,0.0,0.0,4.237576881805339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8753,4.2703980529144605,4.2703980529144605,4.178485788516008,0.0,0.0,0.0,4.23976063144831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8918,4.272725555636844,4.272725555636844,4.180521939158407,0.0,0.0,0.0,4.241991016810698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9084,4.275116870285811,4.275116870285811,4.182613142962481,0.0,0.0,0.0,4.244282294511367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9249,4.277543538179438,4.277543538179438,4.184734462022672,0.0,0.0,0.0,4.246607179460516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9414,4.280020175140841,4.280020175140841,4.186898627853363,0.0,0.0,0.0,4.248979659378349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9579,4.282547150626661,4.282547150626661,4.189105909360624,0.0,0.0,0.0,4.251400070204649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9744,4.28512484382054,4.28512484382054,4.1913565820435235,0.0,0.0,0.0,4.253868756561535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9909,4.287753643839558,4.287753643839558,4.1936509281072185,0.0,0.0,0.0,4.256386071928778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0075,4.290450352082521,4.290450352082521,4.196003542772764,0.0,0.0,0.0,4.258968082312602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.024,4.293182889826108,4.293182889826108,4.198386378774318,0.0,0.0,0.0,4.2615840528088444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
