energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,4.113535478278498,4.161984145395257,4.291999201523846,0.0,0.0,-0.12066104770298278,4.189172941732534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0723
0.0153,4.113548139213624,4.161997612429864,4.2920156674207135,0.0,0.0,-0.12066259210173015,4.189187139688067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,538.6681300349517,0.0,
0.0307,4.1135864544955965,4.162038367287947,4.292065497911377,0.0,0.0,-0.12066726593220431,4.189230106564973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1080.877899939857,0.0,
0.046,4.113649929295102,4.162105883959696,4.292148050657496,0.0,0.0,-0.12067500906646769,4.189301287970764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1619.6084245211232,0.0,
0.0613,4.113738734253765,4.162200344491817,4.29226354958449,0.0,0.0,-0.12068584270629402,4.189400876110024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2158.401149142641,0.0,
0.0767,4.113853705185206,4.162322638698445,4.292413084599223,0.0,0.0,-0.12069986936717686,4.189529809494291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2700.7991568070615,0.0,
0.092,4.113993357281487,4.162471188173128,4.292594728134743,0.0,0.0,-0.12071690859973096,4.1896864245297865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3239.779143987313,0.0,
0.1073,4.114158364420293,4.162646710904747,4.292809361053125,0.0,0.0,-0.12073704346673331,4.189871478792722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3778.883609938373,0.0,
0.1227,4.114350066308832,4.162850633427155,4.293058731342926,0.0,0.0,-0.12076043848056701,4.190086477026305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4321.658331281278,0.0,
0.138,4.114565987199221,4.163080323805053,4.293339624551206,0.0,0.0,-0.12078679267350834,4.1903286451851605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4861.075164812138,0.0,
0.1533,4.114807304660687,4.16333703651129,4.2936535792810595,0.0,0.0,-0.1208162510646596,4.190599306817679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5400.678913473607,0.0,
0.1687,4.115075863188796,4.163622735861806,4.2940030031739695,0.0,0.0,-0.1208490403496254,4.190900534074857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5944.01930148549,0.0,
0.184,4.115368194491823,4.1639337345025735,4.294383392123846,0.0,0.0,-0.12088473871360844,4.191228440372748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6484.060918594832,0.0,
0.1993,4.115685980623935,4.164271824334235,4.294796943874694,0.0,0.0,-0.1209235532979614,4.191584916277621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7024.352124261759,0.0,
0.2147,4.116031572104557,4.164639508922138,4.2952467278933,0.0,0.0,-0.12096577323907476,4.191972602973332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7568.44784942706,0.0,
0.23,4.116400505848027,4.165032042841612,4.295726946535655,0.0,0.0,-0.1210108554136159,4.192386498408432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8109.302980349993,0.0,
0.2453,4.11679496952681,4.165451756769201,4.296240458686354,0.0,0.0,-0.12105906932219833,4.192829061660788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8650.470690515218,0.0,
