energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,4.5954173230054,4.3375369043090135,4.563120910629586,0.0,0.0,0.0,4.498691712647999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0475000000000003
0.0166,4.595439494194871,4.337554786306301,4.563142140947463,0.0,0.0,0.0,4.498712140482878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0332,4.595506010381817,4.3376084343054195,4.563205834296257,0.0,0.0,0.0,4.498773426327831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0498,4.595616879422492,4.337697854329033,4.563311997862259,0.0,0.0,0.0,4.498875577204594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0665,4.595773184036497,4.337823919099865,4.563461667842645,0.0,0.0,0.0,4.499019590326335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0831,4.595973070762965,4.337985133004771,4.563653068658924,0.0,0.0,0.0,4.499203757475554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0997,4.596217365535689,4.338182161245699,4.563886990175435,0.0,0.0,0.0,4.499428838985607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1163,4.596506097241855,4.338415025968946,4.5641634588128674,0.0,0.0,0.0,4.499694860674556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1329,4.5968393000400205,4.338683753362763,4.564482505811773,0.0,0.0,0.0,4.5000018530715185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1495,4.597217013372541,4.33898837366727,4.564844167243198,0.0,0.0,0.0,4.50034985142767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1661,4.597639281979791,4.339328921185925,4.565248484021052,0.0,0.0,0.0,4.500738895728922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1828,4.598109103682639,4.339707811516443,4.565698324287632,0.0,0.0,0.0,4.501171746495571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1994,4.59862090755615,4.340120549746716,4.5661883516470025,0.0,0.0,0.0,4.501643269649956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.216,4.599177433270098,4.34056934291247,4.566721186649206,0.0,0.0,0.0,4.502155987610592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2326,4.599778746973005,4.341054241741197,4.567296889765981,0.0,0.0,0.0,4.502709959493394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2492,4.600424920213284,4.341575301104678,4.567915526398977,0.0,0.0,0.0,4.50330524923898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2658,4.601116029965324,4.342132580039964,4.568577166902267,0.0,0.0,0.0,4.503941925635851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2824,4.6018521586580485,4.342726141772076,4.56928188660666,0.0,0.0,0.0,4.5046200623455945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2991,4.602638237312556,4.3433599586798195,4.570034402094542,0.0,0.0,0.0,4.505344199362306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3157,4.603464945730873,4.344026512190001,4.570825787012945,0.0,0.0,0.0,4.506105748311273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3323,4.604336954031664,4.344729564021104,4.5716605078149595,0.0,0.0,0.0,4.506909008622576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3489,4.605254366821111,4.345469194435529,4.572538660047595,0.0,0.0,0.0,4.507754073768078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3655,4.606217294333715,4.346245488022264,4.573460344383333,0.0,0.0,0.0,4.508641042246437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3821,4.607225852473292,4.347058533729905,4.574425666654982,0.0,0.0,0.0,4.509570017619393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3988,4.608286653017458,4.347913656572446,4.575440949436366,0.0,0.0,0.0,4.510547086342091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4154,4.609387119801395,4.348800713836525,4.576494150519775,0.0,0.0,0.0,4.511560661385898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.432,4.6105336002072255,4.349724817211165,4.577591339130267,0.0,0.0,0.0,4.512616585516219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4486,4.6117262333100815,4.350686073476725,4.578732642165824,0.0,0.0,0.0,4.513714982984211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4652,4.612965164095591,4.351684593966132,4.579918191890403,0.0,0.0,0.0,4.514855983317376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4818,4.614250543515106,4.352720494608924,4.581148125981116,0.0,0.0,0.0,4.516039721368382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4984,4.615582528543656,4.353793895977899,4.582422587577535,0.0,0.0,0.0,4.517266337366363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5151,4.616969730043161,4.354911730548256,4.583749807632762,0.0,0.0,0.0,4.518543756074727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5317,4.618395704897157,4.356060741753918,4.585114046308404,0.0,0.0,0.0,4.519856830986494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5483,4.6198687941191166,4.357247644584296,4.58652327618659,0.0,0.0,0.0,4.521213238296667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5649,4.621389179446412,4.358472578719638,4.587977662825905,0.0,0.0,0.0,4.522613140330652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5815,4.62295704896863,4.359735688747412,4.589477377526428,0.0,0.0,0.0,4.524056705080823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
