energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.773558751339396,3.761877019642281,3.7827358220425844,0.0,0.0,-0.011286256006887764,3.7727238643414203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6552
0.0173,3.7735688558185205,3.7618870767003587,3.782745983030675,0.0,0.0,-0.011286305406500876,3.7727339718498514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.27969901417484,0.0,
0.0347,3.7735994039482814,3.761917481467472,3.78277670200031,0.0,0.0,-0.011286454751365547,3.7727645291386875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373.63863133699545,0.0,
0.052,3.7736500467617597,3.7619678866201824,3.7828276280343047,0.0,0.0,-0.011286702331392798,3.772815187138749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,559.925703983396,0.0,
0.0694,3.7737213733564983,3.7620388785011016,3.782899353526957,0.0,0.0,-0.011287051019732017,3.7728865351281855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,747.2970019064454,0.0,
0.0867,3.773812568933623,3.76212964614842,3.7829910591256954,0.0,0.0,-0.01128749682369021,3.772977758069246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,933.6012906168619,0.0,
0.1041,3.7739246943189326,3.7622412454274965,3.783103811593085,0.0,0.0,-0.011288044916791763,3.7730899171131713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1120.994854985062,0.0,
0.1214,3.7740564686523483,3.7623724015093596,3.783236322910497,0.0,0.0,-0.011288689023038563,3.773221731024068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1307.3262057183217,0.0,
0.1388,3.7742094247941353,3.7625246400877126,3.783390134516941,0.0,0.0,-0.011289436617238982,3.7733747331329295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1494.751941937949,0.0,
0.1561,3.774381815462562,3.7626962221067766,3.783563489364994,0.0,0.0,-0.0112902791389858,3.7735471756447776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1681.120206196028,0.0,
0.1735,3.774575645995084,3.7628891435304244,3.783758404015555,0.0,0.0,-0.01129122636568509,3.7737410645136875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1868.5880262623307,0.0,
0.1908,3.774788702196252,3.763101200585041,3.7839726518973253,0.0,0.0,-0.011292267451015579,3.773954184892873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2055.0030631062195,0.0,
0.2082,3.775023462460337,3.7633348600831846,3.7842087252763124,0.0,0.0,-0.011293414476699112,3.7741890159399447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2242.5228876308065,0.0,
0.2255,3.7752772450541534,3.763587452910673,3.7844639274294276,0.0,0.0,-0.011294654308593399,3.774442875131418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2428.9945656960563,0.0,
0.2429,3.7755530021457693,3.7638619174444137,3.784741227049262,0.0,0.0,-0.011296001334858497,3.774718715546481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2616.576325933829,0.0,
0.2602,3.775847583707689,3.764155118474628,3.785037456499688,0.0,0.0,-0.011297440131222023,3.7750133862273345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2803.114525445553,0.0,
0.2776,3.7761644165369197,3.7644704667960327,3.785356061760294,0.0,0.0,-0.011298987394810058,3.775330315031082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2990.76816532109,0.0,
0.2949,3.7764998814218678,3.7648043602153565,3.785693403386609,0.0,0.0,-0.011300625408508262,3.775665881674611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3177.382780108383,0.0,
0.3123,3.7768578807824147,3.7651606829371294,3.786053405645285,0.0,0.0,-0.011302373181341866,3.7760239897882766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3365.1182582415977,0.0,
0.3296,3.7772343251991183,3.765535364763027,3.7864319562534865,0.0,0.0,-0.011304210700239282,3.7764005487385446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3551.8191977510664,0.0,
0.347,3.7776335938483676,3.765932764438836,3.7868334589056145,0.0,0.0,-0.011306159289464143,3.7767999390642726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3739.6464894818914,0.0,
0.3643,3.778051125944408,3.766348342605061,3.7872533273147124,0.0,0.0,-0.011308196636468594,3.777217598621394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3926.4436807901825,0.0,
0.3817,3.7784917786944465,3.766786933820699,3.7876964458852362,0.0,0.0,-0.011310346384499828,3.7776583861334605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4114.372780202052,0.0,
0.399,3.7789505186520196,3.7672435282733487,3.788157753023689,0.0,0.0,-0.011312583917610393,3.778117266649686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4301.276170026953,0.0,
0.4164,3.7794326824714686,3.767723437748854,3.7886426152696457,0.0,0.0,-0.01131493520218297,3.778599578496656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4489.317091968743,0.0,
0.4337,3.7799327626142483,3.7682211805534465,3.789145494282853,0.0,0.0,-0.01131737331454227,3.7790998124835156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4676.336648678665,0.0,
0.4511,3.7804565767412655,3.768742547256368,3.7896722403071155,0.0,0.0,-0.011319926548765305,3.779623788101583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4864.49943078478,0.0,
0.4684,3.780998141652341,3.76928158271614,3.7902168366761515,0.0,0.0,-0.011322565668714877,3.780165520348211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5051.645146406075,0.0,
0.4858,3.781563757719036,3.769844557986243,3.790785619052639,0.0,0.0,-0.011325321301129022,3.780731311585973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5239.939851114164,0.0,
0.5031,3.7821469643703454,3.7704250427717914,3.791372090724457,0.0,0.0,-0.01132816189226809,3.7813146992888647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5427.221743335965,0.0,
0.5205,3.7827545465386465,3.771029790457376,3.7919830746348664,0.0,0.0,-0.011331120406905973,3.781922470543629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5615.658459901873,0.0,
