energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.825761006613793,2.8167587138029386,2.665996445386636,0.0,0.0,0.04419074816159251,2.769505388601123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.980700000000001
0.0177,2.8257644322565394,2.816762218921869,2.665999493755397,0.0,0.0,0.04419085707112742,2.7695087149779347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0353,2.8257746319853227,2.8167726552954955,2.6660085701617784,0.0,0.0,0.04419118134728524,2.7695186191475325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.053,2.8257917220287343,2.8167901418713592,2.666023778025923,0.0,0.0,0.04419172469105742,2.7695352139753386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0707,2.825815664328278,2.8168146397453446,2.666045083467599,0.0,0.0,0.044192485902143856,2.7695584625137406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0883,2.825846266404656,2.816845952023084,2.6660723151877965,0.0,0.0,0.044193458874268454,2.769588177871846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.106,2.8258838769768553,2.816884435583479,2.6661057834757305,0.0,0.0,0.044194654712059814,2.769624698678688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1237,2.8259283427179005,2.8169299336236286,2.666145351861887,0.0,0.0,0.04419606856196184,2.7696678760678055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1413,2.8259793558145505,2.8169821312790724,2.6661907464013583,0.0,0.0,0.04419769066119625,2.7697174111649936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.159,2.8260374975755895,2.8170416234686213,2.666242484338325,0.0,0.0,0.04419953952299098,2.7697738684608453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1767,2.8261024993627757,2.8171081354440703,2.6663003265770033,0.0,0.0,0.044201606638434886,2.7698369871279502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1943,2.8261739379425146,2.8171812342764326,2.666363896451688,0.0,0.0,0.04420387858397967,2.769906356223545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.212,2.826252627379077,2.8172617531057007,2.6664339183049854,0.0,0.0,0.0442063812897307,2.7699827662632543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2297,2.826338183647932,2.8173492991564943,2.666510050349761,0.0,0.0,0.04420910258772951,2.7700658443847295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2473,2.8264300679762187,2.817443321305591,2.6665918130966255,0.0,0.0,0.044212025387789004,2.7701550674594784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.265,2.8265293274159453,2.81754489116811,2.6666801381874583,0.0,0.0,0.044215183048496566,2.7702514522571717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2827,2.8266354624488352,2.817653497824274,2.6667745810507437,0.0,0.0,0.04421855973755677,2.770354513774618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3004,2.826748476437321,2.8177691449482083,2.6668751445960193,0.0,0.0,0.044222155622426484,2.7704642553271825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.318,2.8268676762421885,2.817891123486806,2.666981211961979,0.0,0.0,0.04422594870984144,2.7705800038969914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3357,2.8269944201893713,2.818020823693496,2.6670939917326013,0.0,0.0,0.044229982291554476,2.770703078538489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3534,2.8271280544726567,2.818157576804574,2.6672129020322615,0.0,0.0,0.04423423563616893,2.7708328444364976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.371,2.827267770009372,2.818300555131678,2.667337222826015,0.0,0.0,0.044238683063809764,2.7709685159890216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3887,2.8274151589152217,2.8184513882804003,2.66746837069092,0.0,0.0,0.04424337533483716,2.771111639295514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4064,2.827569451512828,2.818609288931047,2.667605660640138,0.0,0.0,0.04424828803490894,2.7712614670280047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.424,2.8277297225481934,2.8187733105112454,2.667748269267804,0.0,0.0,0.04425339178626967,2.7714171007757478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4417,2.8278977983826135,2.818945322477381,2.667897821538241,0.0,0.0,0.04425874484071985,2.771580314132745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4594,2.82807279325122,2.8191244187176716,2.6680535291661527,0.0,0.0,0.04426431909029282,2.7717502470450146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.477,2.828253665467787,2.819309533491068,2.668214465148857,0.0,0.0,0.044270081446433435,2.771925888035904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4947,2.828442476162763,2.819502776677461,2.6683824632908113,0.0,0.0,0.0442760976786418,2.7721092387103448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5124,2.8286382232345426,2.8197031231010965,2.668556631792389,0.0,0.0,0.044282335973005967,2.7722993260426763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.53,2.828839748270484,2.8199093875309202,2.6687359397995185,0.0,0.0,0.04428875951558637,2.7724950252003073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5477,2.8290493477620564,2.8201239209180784,2.6689224304685153,0.0,0.0,0.04429544162330468,2.7726985663828834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5654,2.8292659029884595,2.820345578714463,2.669115108241,0.0,0.0,0.044302346762323426,2.772908863314641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.583,2.829488138482864,2.820573055841198,2.6693128381277624,0.0,0.0,0.04430943437705028,2.7731246774839415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6007,2.8297185867584087,2.820808945043721,2.6695178732082807,0.0,0.0,0.044316785365052166,2.773348468336804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6184,2.829956012159208,2.821051982056808,2.6697291138919064,0.0,0.0,0.044324360456910156,2.773579036035974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.636,2.8301990218027333,2.8213007415586993,2.6699453207414674,0.0,0.0,0.04433211533740456,2.7738150280342997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6537,2.8304503849537674,2.82155805888851,2.670168957390702,0.0,0.0,0.04434013852151848,2.7740591337443266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6714,2.8307087486717553,2.8218225496820217,2.6703988199141664,0.0,0.0,0.04434838698689857,2.774310039422648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.689,2.8309726022627744,2.8220926679423255,2.6706335640842758,0.0,0.0,0.044356812638994436,2.7745662780964584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7067,2.831244952543315,2.8223714924784287,2.6708758647806707,0.0,0.0,0.044365511650574584,2.774830769934138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7244,2.831524328904542,2.8226575184080502,2.6711244134111016,0.0,0.0,0.04437443722727722,2.775102086907898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.742,2.831809102410933,2.822949078588983,2.671377760585428,0.0,0.0,0.044383537473764036,2.7753786471951147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7597,2.832102518301533,2.823249496254159,2.67163879318183,0.0,0.0,0.04439291626460865,2.7756636025791743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7774,2.83240298788124,2.82355714554655,2.6719060975795883,0.0,0.0,0.044402523012624824,2.775955410335793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.795,2.8327087635079113,2.823870237670187,2.6721781188237026,0.0,0.0,0.04441230199844377,2.7762523733339335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8127,2.8330233297855205,2.8241923413147294,2.6724579566053124,0.0,0.0,0.04442236484617932,2.776557875901854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8304,2.83334497947999,2.824521709153595,2.6727440918835477,0.0,0.0,0.04443265715323019,2.776870260172377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.848,2.8336718457422867,2.8248564301898442,2.673034863705876,0.0,0.0,0.044443119351142014,2.777187713212669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8657,2.834007653556012,2.8252003196824518,2.6733335854531166,0.0,0.0,0.04445387086508176,2.7775138528971937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8834,2.8343505766603574,2.825551508301925,2.6736386322423145,0.0,0.0,0.04446485345264197,2.7778469057348656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9011,2.834700626182846,2.8259100082471855,2.673950013688783,0.0,0.0,0.04447606767830545,2.778186882706271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9187,2.835055775416426,2.8262737445899493,2.6742659267162674,0.0,0.0,0.044487448796875606,2.778531815574214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9364,2.8354200717085147,2.826646863375367,2.6745899712338312,0.0,0.0,0.04449912672669449,2.778885635439238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9541,2.8357915292002933,2.827027331628666,2.6749203804592754,0.0,0.0,0.04451103806204943,2.779246413762745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
