energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.4991836866799044,2.4991836866799044,2.6031298734176063,0.0,0.0,0.0,2.5338324155924714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.634399999999999
0.0161,2.499186460554674,2.499186460554674,2.6031329177457243,0.0,0.0,0.0,2.533835279618357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0323,2.4991948512993885,2.4991948512993885,2.603142126586458,0.0,0.0,0.0,2.5338439430617448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0484,2.4992087556141396,2.4992087556141396,2.6031573865584887,0.0,0.0,0.0,2.533858299262256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0646,2.4992283467101846,2.4992283467101846,2.6031788877446838,0.0,0.0,0.0,2.5338785270550175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0807,2.4992533833983126,2.4992533833983126,2.603206365417737,0.0,0.0,0.0,2.5339043774047876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0969,2.499284177570037,2.499284177570037,2.6032401618480856,0.0,0.0,0.0,2.5339361723293865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.113,2.4993203501135097,2.4993203501135097,2.6032798609269197,0.0,0.0,0.0,2.5339735203846465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1291,2.4993620751289045,2.4993620751289045,2.603325653686464,0.0,0.0,0.0,2.534016601314758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1453,2.49940966507524,2.49940966507524,2.6033778829972762,0.0,0.0,0.0,2.534065737715919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1614,2.4994625340661423,2.4994625340661423,2.603435905801962,0.0,0.0,0.0,2.5341203246447486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
