energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,4.882440785726364,4.882440785726364,4.882440785726364,0.0,0.0,0.0,4.882440785726364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8745
0.0193,4.8824741159208855,4.8824741159208855,4.8824741159208855,0.0,0.0,0.0,4.8824741159208855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0387,4.88257480528381,4.88257480528381,4.88257480528381,0.0,0.0,0.0,4.88257480528381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.058,4.882741836967878,4.882741836967878,4.882741836967878,0.0,0.0,0.0,4.882741836967878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0774,4.88297697745794,4.88297697745794,4.88297697745794,0.0,0.0,0.0,4.88297697745794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0967,4.883277852149357,4.883277852149357,4.883277852149357,0.0,0.0,0.0,4.883277852149357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1161,4.8836476430987865,4.8836476430987865,4.8836476430987865,0.0,0.0,0.0,4.8836476430987865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1354,4.884082616039779,4.884082616039779,4.884082616039779,0.0,0.0,0.0,4.884082616039779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1548,4.8845873714412384,4.8845873714412384,4.8845873714412384,0.0,0.0,0.0,4.8845873714412384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1741,4.88515681237582,4.88515681237582,4.88515681237582,0.0,0.0,0.0,4.88515681237582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1934,4.885793487690661,4.885793487690661,4.885793487690661,0.0,0.0,0.0,4.885793487690661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
