energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.4225056894008037,2.4225056894008037,2.5366941673229575,0.0,0.0,0.0,2.4605685153748547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.642900000000001
0.0163,2.422507961036966,2.422507961036966,2.5366967671065677,0.0,0.0,0.0,2.4605708963935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0326,2.42251477600752,2.42251477600752,2.536704566529238,0.0,0.0,0.0,2.4605780395147594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0489,2.422526134498665,2.422526134498665,2.5367175658065286,0.0,0.0,0.0,2.4605899449346196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0652,2.4225420368208286,2.4225420368208286,2.536735765297739,0.0,0.0,0.0,2.4606066129797988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0815,2.4225624834085475,2.4225624834085475,2.5367591655059005,0.0,0.0,0.0,2.4606280441076653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0978,2.4225874748206517,2.4225874748206517,2.536787767077861,0.0,0.0,0.0,2.4606542389063883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1141,2.4226170117402313,2.4226170117402313,2.5368215708043254,0.0,0.0,0.0,2.460685198094929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1304,2.4226510949746953,2.4226510949746953,2.536860577619912,0.0,0.0,0.0,2.460720922523101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1466,2.422689474593945,2.422689474593945,2.536904501502017,0.0,0.0,0.0,2.460761150229969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1629,2.4227326254709816,2.4227326254709816,2.5369538859368435,0.0,0.0,0.0,2.460806378959602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1792,2.4227803258243377,2.4227803258243377,2.537008477120163,0.0,0.0,0.0,2.4608563762562796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1955,2.4228325769588084,2.4228325769588084,2.537068276562294,0.0,0.0,0.0,2.4609111434933038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2118,2.4228893803040092,2.4228893803040092,2.537133285917982,0.0,0.0,0.0,2.460970682175333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2281,2.42295073741447,2.42295073741447,2.537203506986546,0.0,0.0,0.0,2.4610349939384952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2444,2.423016649969777,2.423016649969777,2.537278941712017,0.0,0.0,0.0,2.4611040805505238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2607,2.423087119774686,2.423087119774686,2.5373595921832925,0.0,0.0,0.0,2.4611779439108883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.277,2.4231621487593658,2.4231621487593658,2.537445460634366,0.0,0.0,0.0,2.4612565860510327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2933,2.423241738979442,2.423241738979442,2.5375365494444426,0.0,0.0,0.0,2.4613400091344424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
