energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,4.1422865793759955,4.1422865793759955,4.1422865793759955,0.0,0.0,0.0,4.1422865793759955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1922999999999995
0.019,4.1423018920203845,4.1423018920203845,4.1423018920203845,0.0,0.0,0.0,4.1423018920203845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0381,4.142348154193903,4.142348154193903,4.142348154193903,0.0,0.0,0.0,4.142348154193903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0571,4.142424885783914,4.142424885783914,4.142424885783914,0.0,0.0,0.0,4.142424885783914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0762,4.142532901725845,4.142532901725845,4.142532901725845,0.0,0.0,0.0,4.142532901725845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0952,4.142671081024796,4.142671081024796,4.142671081024796,0.0,0.0,0.0,4.142671081024796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1142,4.142839921461327,4.142839921461327,4.142839921461327,0.0,0.0,0.0,4.142839921461327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1333,4.143040570063052,4.143040570063052,4.143040570063052,0.0,0.0,0.0,4.143040570063052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1523,4.14327094450737,4.14327094450737,4.14327094450737,0.0,0.0,0.0,4.14327094450737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1714,4.143533491545009,4.143533491545009,4.143533491545009,0.0,0.0,0.0,4.143533491545009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1904,4.143825486498602,4.143825486498602,4.143825486498602,0.0,0.0,0.0,4.143825486498602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
