energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.8723653879484576,2.7606979806249816,2.794813618491588,0.0,0.0,0.0,2.8092923290216754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4109
0.0166,2.87236856109408,2.760700878918245,2.794816603042104,0.0,0.0,0.0,2.8092953476848095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0332,2.872378080619213,2.7607095738776577,2.79482555677624,0.0,0.0,0.0,2.8093044037577037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0498,2.872393946788666,2.7607240657420364,2.7948404799417954,0.0,0.0,0.0,2.809319497490833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0664,2.8724161600438194,2.760744354909474,2.7948613729517784,0.0,0.0,0.0,2.8093406293016905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0831,2.87244491229291,2.760770616658087,2.7948884163053096,0.0,0.0,0.0,2.8093679817521022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0997,2.872479859996794,2.7608025371966844,2.7949212868777,0.0,0.0,0.0,2.809401228023726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1163,2.8725211571767355,2.76084025719417,2.794960129531259,0.0,0.0,0.0,2.809440514634055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1329,2.8725688049819307,2.760883777687008,2.795004945341313,0.0,0.0,0.0,2.809485842670084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1495,2.8726228047385196,2.7609330998712043,2.7950557355487753,0.0,0.0,0.0,2.8095372133861662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1661,2.872683157949599,2.7609882251024245,2.7951125015601512,0.0,0.0,0.0,2.8095946282040583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1827,2.8727498662954316,2.7610491548960443,2.795175244947705,0.0,0.0,0.0,2.8096580887130607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1993,2.8728229316335265,2.76111589092734,2.795243967449561,0.0,0.0,0.0,2.8097275966701427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.216,2.8729028537323384,2.761188889647794,2.795319139118848,0.0,0.0,0.0,2.8098036274996603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2326,2.8729886776651647,2.761267278827202,2.7953998617773044,0.0,0.0,0.0,2.809885272756557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2492,2.8730808652429576,2.7613514802442163,2.7954865697752105,0.0,0.0,0.0,2.809972971754128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2658,2.8731794190350977,2.7614414962161122,2.795579265516816,0.0,0.0,0.0,2.8100667269226753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2824,2.873284341789116,2.7615373292207996,2.795677951573076,0.0,0.0,0.0,2.8101665408609975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.299,2.873395636430962,2.761638981897114,2.7957826306818787,0.0,0.0,0.0,2.8102724163366517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3156,2.8735133060652513,2.7617464570450285,2.7958933057483417,0.0,0.0,0.0,2.810384356286207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3322,2.873637353975531,2.7618597576258215,2.796009979844957,0.0,0.0,0.0,2.8105023638154365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3489,2.8737685886905115,2.761979622076044,2.796133413421022,0.0,0.0,0.0,2.810627208062526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3655,2.8739054421979864,2.7621046181950266,2.7962621316558782,0.0,0.0,0.0,2.8107573973496307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3821,2.874048684931944,2.7622354496226857,2.7963968591676034,0.0,0.0,0.0,2.8108936645740776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3987,2.874198320895567,2.7623721199693057,2.796537599702078,0.0,0.0,0.0,2.8110360135223167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4153,2.874354354272443,2.762514633007824,2.796684357174057,0.0,0.0,0.0,2.8111844481514408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4319,2.8745167894270085,2.762662992674273,2.7968371356674337,0.0,0.0,0.0,2.811338972589572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4485,2.8746856309047883,2.7628172030679807,2.7969959394355985,0.0,0.0,0.0,2.8114995911361227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4651,2.874860883432886,2.7629772684520066,2.797160772901847,0.0,0.0,0.0,2.8116663082622466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4818,2.8750436657605896,2.7631442105647914,2.7973326882781553,0.0,0.0,0.0,2.8118401882011788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4984,2.875231793995469,2.763316034714687,2.7975096314863057,0.0,0.0,0.0,2.8120191533988206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.515,2.8754263485874594,2.7634937276588953,2.7976926187155575,0.0,0.0,0.0,2.8122042316539706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5316,2.875627334994963,2.7636772943199093,2.7978816550734944,0.0,0.0,0.0,2.812395428129456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5482,2.875834758860041,2.763866739785785,2.798076745839583,0.0,0.0,0.0,2.8125927481618027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
