energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.6731635702955647,3.651390243342964,3.706751540067334,0.0,0.0,-0.008836990728497363,3.6771017845686207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6464
0.0191,3.6731753337908946,3.6514018281785052,3.7067635751065455,0.0,0.0,-0.0088369193183005,3.677113579025315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.9815407037738,0.0,
0.0382,3.6732106252652628,3.6514365836536156,3.7067996812386697,0.0,0.0,-0.008836705068281464,3.6771489633858496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363.9586692607935,0.0,
0.0573,3.673269447684137,3.6514945126740574,3.706859861507405,0.0,0.0,-0.008836347920146823,3.6772079406218663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.9269713452153,0.0,
0.0764,3.6733518059908024,3.651575620083539,3.7069441209864635,0.0,0.0,-0.008835847776714208,3.6772905156869347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,727.8820282714933,0.0,
0.0954,3.6734570913292233,3.6516793062399264,3.70705183678737,0.0,0.0,-0.008835208242817074,3.6773960781188397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,908.866916737202,0.0,
0.1145,3.6735864208253926,3.6518066712572477,3.707184151853629,0.0,0.0,-0.008834422412287322,3.677525747978757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1090.7823262227505,0.0,
0.1336,3.6737393128590954,3.6519572407766843,3.7073405734831146,0.0,0.0,-0.008833493062318707,3.677679042372965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1272.671209777967,0.0,
0.1527,3.6739157802921953,3.6521310274010745,3.7075211148769847,0.0,0.0,-0.008832419939814642,3.6778559741900847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1454.5291094626116,0.0,
0.1718,3.6741158379757892,3.6523280456823675,3.707725791278177,0.0,0.0,-0.00883120275242757,3.678056558312111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1636.3515520086305,0.0,
