energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.5902754070790324,2.5902754070790324,2.7998363624135,0.0,0.0,0.0,2.6601290588571884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7157
0.0168,2.590278263790213,2.590278263790213,2.7998399154810576,0.0,0.0,0.0,2.660132147687161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0336,2.590286834015379,2.590286834015379,2.799850574802706,0.0,0.0,0.0,2.6601414142778212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0504,2.5903011180294984,2.5903011180294984,2.7998683407354155,0.0,0.0,0.0,2.6601568589314706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0671,2.590320980346907,2.590320980346907,2.799893044791746,0.0,0.0,0.0,2.6601783351618535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0839,2.5903466594775812,2.5903466594775812,2.799924983656874,0.0,0.0,0.0,2.660206100870679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1007,2.590378054316697,2.590378054316697,2.799964031625197,0.0,0.0,0.0,2.6602400467528637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1175,2.5904151658717414,2.5904151658717414,2.8000101900047536,0.0,0.0,0.0,2.6602801739160786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1343,2.590457995333832,2.590457995333832,2.800063460341991,0.0,0.0,0.0,2.660326483669885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1511,2.5905065440778308,2.5905065440778308,2.8001238444218752,0.0,0.0,0.0,2.6603789775258453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1679,2.590560813662492,2.590560813662492,2.8001913442681445,0.0,0.0,0.0,2.6604376571977095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
