energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.265702300383866,3.3842036013024845,3.3711106181131876,0.0,0.0,-0.0013513785844634337,3.3403388399331795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9488
0.0165,3.265708203954329,3.3842101752155216,3.371116980382776,0.0,0.0,-0.0013513257925146923,3.3403451198508756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.47626905749098,0.0,
0.033,3.2657259149488254,3.384229897282536,3.3711360675042545,0.0,0.0,-0.0013511674075737832,3.340363959911872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.94533245027736,0.0,
0.0495,3.2657554342167088,3.3842627684871665,3.3711678804158067,0.0,0.0,-0.0013509034023534798,3.340395361039894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.39998103652584,0.0,
0.0661,3.265797049659822,3.384309109486829,3.3712127294279073,0.0,0.0,-0.0013505311686755237,3.340439629524853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.2052393645381,0.0,
0.0826,3.2658502618813943,3.384368364265615,3.371270076393692,0.0,0.0,-0.001350055127203633,3.340496234180234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.6092026404073,0.0,
0.0991,3.265915288340871,3.3844407750896357,3.371340155737965,0.0,0.0,-0.0013494732737759773,3.3405654063894907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368.9770240406069,0.0,
0.1156,3.265992132158229,3.3845263455722026,3.371422970907118,0.0,0.0,-0.0013487855080892557,3.3406471495458496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430.30144549651897,0.0,
0.1321,3.2660807970212127,3.3846250799841555,3.371518525974687,0.0,0.0,-0.001347991711552115,3.3407414676600182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,491.57518792456284,0.0,
0.1486,3.266181287185926,3.384736983254553,3.3716268256420876,0.0,0.0,-0.001347091747249796,3.3408483653608556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,552.7909476702123,0.0,
0.1651,3.2662936074774453,3.3848620609714315,3.3717478752392736,0.0,0.0,-0.0013460854599029908,3.34096784789605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,613.9413929254305,0.0,
0.1816,3.266417763290563,3.385000319382596,3.371881680725636,0.0,0.0,-0.0013449726758211994,3.3410999211329315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,675.0191601156016,0.0,
0.1982,3.2665546209305387,3.385152723471023,3.372029175904541,0.0,0.0,-0.0013437454864262547,3.3412455067687006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,736.3862739517085,0.0,
