energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.450833787377018,2.481785970970919,2.4729783399748415,0.0,0.0,-0.00788670847507643,2.4685326994409262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.293
0.0166,2.4508357904342626,2.481788047918881,2.472980377355503,0.0,0.0,-0.007886748247761815,2.468534738569549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.41720299455415,0.0,
0.0332,2.4508417996511134,2.4817942788098595,2.472986489543527,0.0,0.0,-0.007886867567503885,2.4685408560015003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298.8366665347895,0.0,
0.0498,2.4508518151628294,2.481804663785108,2.4729966766769858,0.0,0.0,-0.007887066439360501,2.4685510518749743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,448.26065126908986,0.0,
0.0664,2.4508658371949235,2.4818192030800597,2.4730109389860466,0.0,0.0,-0.007887344871761924,2.468565326420343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,597.6914180512524,0.0,
0.083,2.4508838660631156,2.4818378970243806,2.4730292767929254,0.0,0.0,-0.007887702876511849,2.4685836799601404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,747.1312280432303,0.0,
0.0996,2.450905902173341,2.4818607460418916,2.4730516905119746,0.0,0.0,-0.007888140468788326,2.468606112909069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,896.5823428178951,0.0,
0.1162,2.450931946021846,2.481887750650733,2.473078180649644,0.0,0.0,-0.007888657667145244,2.4686326257740743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1046.047024461845,0.0,
0.1328,2.450961998195135,2.48191891146329,2.473108747804605,0.0,0.0,-0.007889254493514257,2.4686632191543434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1195.5275356782765,0.0,
0.1494,2.4509960593700777,2.481954229186303,2.473143392667677,0.0,0.0,-0.007889930973206862,2.468697893741352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1345.026139889913,0.0,
0.166,2.4510341303139467,2.481993704620857,2.47318211602199,0.0,0.0,-0.007890687134916915,2.468736650318931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1494.5451013420188,0.0,
0.1826,2.4510762118844376,2.4820373386624985,2.4732249187429565,0.0,0.0,-0.007891523010723355,2.4687794897632975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1644.0866852054842,0.0,
0.1992,2.45112230502975,2.4820851323012647,2.4732718017983863,0.0,0.0,-0.007892438636093223,2.468826413043134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1793.6531576800105,0.0,
0.2158,2.4511724107886828,2.482137086621731,2.4733227662484776,0.0,0.0,-0.007893434049885573,2.4688774212196303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1943.2467860974589,0.0,
0.2324,2.451226530290615,2.4821932028031366,2.473377813246026,0.0,0.0,-0.007894509294354646,2.4689325154465926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2092.869839025206,0.0,
0.249,2.4512846647556996,2.4822534821194546,2.473436944036327,0.0,0.0,-0.00789566441515436,2.4689916969704937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2242.524586369739,0.0,
0.2656,2.451346815494854,2.4823179259394026,2.47350015995744,0.0,0.0,-0.00789689946134282,2.4690549671305657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2392.2132994803596,0.0,
