energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.4532210101086265,3.4532210101086265,3.7219160765354715,0.0,0.0,0.0,3.5427860322509077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0981000000000005
0.0237,3.4532337793665966,3.4532337793665966,3.721931334945551,0.0,0.0,0.0,3.542799631226248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0474,3.453272088301505,3.453272088301505,3.721977111631651,0.0,0.0,0.0,3.5428404294115534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.071,3.4533356173099663,3.4533356173099663,3.72205302489231,0.0,0.0,0.0,3.542908086504081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0947,3.453424910554628,3.453424910554628,3.7221597253096657,0.0,0.0,0.0,3.543003182139641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1184,3.453539760857916,3.453539760857916,3.7222969657994205,0.0,0.0,0.0,3.5431254958384173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1421,3.453680178668346,3.453680178668346,3.722464759463928,0.0,0.0,0.0,3.5432750389335403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1657,3.4538454225909154,3.4538454225909154,3.7226622211080858,0.0,0.0,0.0,3.543451022096639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1894,3.454036908051686,3.454036908051686,3.722891043013646,0.0,0.0,0.0,3.543654953039006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2131,3.454254006280625,3.454254006280625,3.7231504748530573,0.0,0.0,0.0,3.543886162471436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
