energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.1368591539940263,3.1368591539940263,3.2352366889876767,0.0,0.0,0.0,3.1696516656585767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3485
0.0169,3.136863722609372,3.136863722609372,3.235241609790534,0.0,0.0,0.0,3.1696563516697593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0337,3.1368773206523777,3.1368773206523777,3.2352562560909695,0.0,0.0,0.0,3.1696702991319086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0506,3.136900110517787,3.136900110517787,3.235280802818569,0.0,0.0,0.0,3.1696936746180477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0674,3.1369318233515284,3.1369318233515284,3.23531496041984,0.0,0.0,0.0,3.169726202374299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0843,3.1369728378845445,3.1369728378845445,3.2353591368597248,0.0,0.0,0.0,3.1697682708762716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1011,3.1370226702650412,3.1370226702650412,3.2354128110327287,0.0,0.0,0.0,3.16981938385427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.118,3.137081915617381,3.137081915617381,3.23547662400261,0.0,0.0,0.0,3.16988015174579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1348,3.1371498750199662,3.1371498750199662,3.2355498230320454,0.0,0.0,0.0,3.1699498576906593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1517,3.1372273600804874,3.1372273600804874,3.2356332823832124,0.0,0.0,0.0,3.1700293341813954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1685,3.137313456703416,3.137313456703416,3.235726017571597,0.0,0.0,0.0,3.1701176436594767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1854,3.1374091931024544,3.1374091931024544,3.235829136193808,0.0,0.0,0.0,3.1702158407995724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2022,3.137513439871863,3.137513439871863,3.2359414218671434,0.0,0.0,0.0,3.1703227672036234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2191,3.137627441986823,3.137627441986823,3.2360642156949577,0.0,0.0,0.0,3.170439699889535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2359,3.137749854563054,3.137749854563054,3.2361960692098033,0.0,0.0,0.0,3.1705652594453038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2528,3.1378821395255008,3.1378821395255008,3.236338557230564,0.0,0.0,0.0,3.1707009454271886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2697,3.1380236003541544,3.1380236003541544,3.236490929677003,0.0,0.0,0.0,3.1708460434617707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2865,3.138173324014545,3.138173324014545,3.2366522032458804,0.0,0.0,0.0,3.1709996170916566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3034,3.1383330986041993,3.1383330986041993,3.2368243041484708,0.0,0.0,0.0,3.17116350045229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3202,3.1385010392730046,3.1385010392730046,3.237005202308612,0.0,0.0,0.0,3.1713357602848737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3371,3.1386791516840984,3.1386791516840984,3.2371970583357976,0.0,0.0,0.0,3.1715184539013315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3539,3.13886533466421,3.13886533466421,3.237397609133168,0.0,0.0,0.0,3.1717094261538628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3708,3.139061811746465,3.139061811746465,3.2376092500458844,0.0,0.0,0.0,3.1719109578462716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3876,3.139266265119955,3.139266265119955,3.237829484607892,0.0,0.0,0.0,3.172120671615934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4045,3.1394811365255557,3.1394811365255557,3.238060943274469,0.0,0.0,0.0,3.1723410721085266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4213,3.139703891167403,3.139703891167403,3.2383008958255117,0.0,0.0,0.0,3.1725695593867727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4382,3.1399371893655026,3.1399371893655026,3.2385522082381675,0.0,0.0,0.0,3.1728088623230577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.455,3.140178278958809,3.140178278958809,3.23881191611679,0.0,0.0,0.0,3.1730561580114696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4719,3.140430039251575,3.140430039251575,3.239083121409634,0.0,0.0,0.0,3.1733143999709283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
