energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,4.253121443046963,4.253121443046963,4.176434233828234,0.0,0.0,0.0,4.227559039974053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3351
0.0192,4.253137457070487,4.253137457070487,4.176449480696167,0.0,0.0,0.0,4.227574798279047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0383,4.253185167426475,4.253185167426475,4.176494905444666,0.0,0.0,0.0,4.227621746765872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0575,4.253265078156824,4.253265078156824,4.176570987873514,0.0,0.0,0.0,4.227700381395721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0766,4.2533763642337785,4.2533763642337785,4.176676942321677,0.0,0.0,0.0,4.227809890263078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0958,4.253520201356135,4.253520201356135,4.17681388793818,0.0,0.0,0.0,4.227951430216817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.115,4.253696103756381,4.253696103756381,4.176981361939576,0.0,0.0,0.0,4.228124523150779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1341,4.253902921473906,4.253902921473906,4.177178269120508,0.0,0.0,0.0,4.228328037356107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1533,4.254142839485105,4.254142839485105,4.177406689339855,0.0,0.0,0.0,4.228564122770021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1724,4.254413380824396,4.254413380824396,4.17766426386142,0.0,0.0,0.0,4.228830341836737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1916,4.254717403716773,4.254717403716773,4.1779537133736175,0.0,0.0,0.0,4.229129506935721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2108,4.255053603848955,4.255053603848955,4.1782737954619,0.0,0.0,0.0,4.229460334386603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2299,4.255420010417257,4.255420010417257,4.178622633151217,0.0,0.0,0.0,4.229820884661911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2491,4.255820494514511,4.255820494514511,4.179003911178448,0.0,0.0,0.0,4.230214966735823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2682,4.256250921577285,4.256250921577285,4.179413692461278,0.0,0.0,0.0,4.230638511871949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2874,4.2567158391422915,4.2567158391422915,4.179856305537333,0.0,0.0,0.0,4.231095994607306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3066,4.257213121452283,4.257213121452283,4.180329725658969,0.0,0.0,0.0,4.231585322854511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3257,4.2577399724124785,4.2577399724124785,4.180831289937053,0.0,0.0,0.0,4.23210374492067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3449,4.258301958440963,4.258301958440963,4.181366296549269,0.0,0.0,0.0,4.232656737810399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.364,4.258893277898958,4.258893277898958,4.181929221241802,0.0,0.0,0.0,4.233238592346573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3832,4.259520178471184,4.259520178471184,4.182526010476977,0.0,0.0,0.0,4.233855455806448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4024,4.260179708204292,4.260179708204292,4.183153852744536,0.0,0.0,0.0,4.23450442305104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4215,4.260868239382875,4.260868239382875,4.183809293344388,0.0,0.0,0.0,4.235181924036713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4407,4.261593047055117,4.261593047055117,4.184499256263913,0.0,0.0,0.0,4.235895116791382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4598,4.262346649144819,4.262346649144819,4.185216617637874,0.0,0.0,0.0,4.236636638642504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.479,4.263137008453542,4.263137008453542,4.185968955767681,0.0,0.0,0.0,4.237414324224922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4982,4.263960340193626,4.263960340193626,4.186752666194303,0.0,0.0,0.0,4.238224448860518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5173,4.264812176774256,4.264812176774256,4.187563494717635,0.0,0.0,0.0,4.239062616088716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5365,4.265701519375414,4.265701519375414,4.188410007401139,0.0,0.0,0.0,4.239937682050655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5556,4.266619188141679,4.266619188141679,4.189283464626609,0.0,0.0,0.0,4.240840613636656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5748,4.267574880206471,4.267574880206471,4.190193094391245,0.0,0.0,0.0,4.241780951601395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.594,4.2685639693783965,4.2685639693783965,4.191134491303168,0.0,0.0,0.0,4.24275414335332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6131,4.269581137953912,4.269581137953912,4.192102592128801,0.0,0.0,0.0,4.243754956012208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6323,4.270637135076622,4.270637135076622,4.1931076252921695,0.0,0.0,0.0,4.244793965148471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6514,4.271721061666405,4.271721061666405,4.194139215466539,0.0,0.0,0.0,4.245860446266449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6706,4.272844372796959,4.272844372796959,4.195208262276652,0.0,0.0,0.0,4.24696566929019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6898,4.274001590313755,4.274001590313755,4.196309549562471,0.0,0.0,0.0,4.248104243396661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7089,4.27518653410835,4.27518653410835,4.197437193613542,0.0,0.0,0.0,4.249270087276748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7281,4.2764117276198945,4.2764117276198945,4.198603109669888,0.0,0.0,0.0,4.250475521636559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7472,4.277664526837459,4.277664526837459,4.199795262785077,0.0,0.0,0.0,4.251708105486665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7664,4.2789581729615875,4.2789581729615875,4.20102625038466,0.0,0.0,0.0,4.252980865435945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7856,4.280286323251347,4.280286323251347,4.202290033786639,0.0,0.0,0.0,4.2542875600964445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8047,4.281641920759067,4.281641920759067,4.203579895371084,0.0,0.0,0.0,4.255621245629739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8239,4.2830392942583995,4.2830392942583995,4.20490946600748,0.0,0.0,0.0,4.2569960181747595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.843,4.2844640246512995,4.2844640246512995,4.206265023090669,0.0,0.0,0.0,4.258397690797756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8622,4.285931172253514,4.285931172253514,4.2076608924634415,0.0,0.0,0.0,4.259841078990156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8813,4.287425598826271,4.287425598826271,4.209082668001653,0.0,0.0,0.0,4.261311288551398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9005,4.2889631023066865,4.2889631023066865,4.21054537616024,0.0,0.0,0.0,4.262823860257871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
