energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.7920431848491845,2.7920431848491845,2.873632913261498,0.0,0.0,0.0,2.8192397609866227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.008400000000001
0.0188,2.7920477535264157,2.7920477535264157,2.8736381430449947,0.0,0.0,0.0,2.8192445500326087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0375,2.7920613626966047,2.7920613626966047,2.873653721551059,0.0,0.0,0.0,2.8192588156480896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0563,2.7920841585618703,2.7920841585618703,2.873679816238724,0.0,0.0,0.0,2.8192827111208216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.075,2.792115899687489,2.792115899687489,2.873716150901303,0.0,0.0,0.0,2.8193159834254273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0938,2.7921569270658306,2.7921569270658306,2.8737631161137456,0.0,0.0,0.0,2.8193589900818026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1126,2.792207097222862,2.792207097222862,2.873820547942402,0.0,0.0,0.0,2.8194115807960416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1313,2.7922660728472017,2.7922660728472017,2.873888060616168,0.0,0.0,0.0,2.8194734021035237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1501,2.79233448751069,2.79233448751069,2.8739663798564377,0.0,0.0,0.0,2.8195451182926057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1688,2.792411616625461,2.792411616625461,2.8740546766751285,0.0,0.0,0.0,2.81962596997535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1876,2.792498288787295,2.792498288787295,2.8741539002138627,0.0,0.0,0.0,2.8197168259294845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2064,2.792594120021602,2.792594120021602,2.8742636115477636,0.0,0.0,0.0,2.8198172838636553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2251,2.792698532172673,2.792698532172673,2.8743831494682635,0.0,0.0,0.0,2.8199267379378696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2439,2.792812646942504,2.792812646942504,2.874513798949473,0.0,0.0,0.0,2.8200463642781606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2627,2.792935935809024,2.792935935809024,2.8746549557599876,0.0,0.0,0.0,2.820175609126012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2814,2.793067675752166,2.793067675752166,2.874805792973109,0.0,0.0,0.0,2.8203137148258137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3002,2.7932092820657806,2.7932092820657806,2.8749679320282207,0.0,0.0,0.0,2.8204621653865942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3189,2.7933592550025916,2.7933592550025916,2.8751396567601715,0.0,0.0,0.0,2.8206193889217848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3377,2.793519205743154,2.793519205743154,2.8753228131527955,0.0,0.0,0.0,2.8207870748797013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3565,2.7936883644171937,2.7936883644171937,2.8755165208872304,0.0,0.0,0.0,2.8209644165738723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3752,2.7938657659426216,2.7938657659426216,2.8757196760219372,0.0,0.0,0.0,2.821150402635727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.394,2.794053316185738,2.794053316185738,2.8759344624319025,0.0,0.0,0.0,2.821347031601126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4127,2.7942490288375614,2.7942490288375614,2.8761586067477527,0.0,0.0,0.0,2.821552221474292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4315,2.794455006498943,2.794455006498943,2.876394518494557,0.0,0.0,0.0,2.8217681771641474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
