energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.356087706818584,3.356087706818584,3.7052005161806036,0.0,0.0,0.0,3.472458643272591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8297
0.0168,3.3560942194666716,3.3560942194666716,3.705208682909929,0.0,0.0,0.0,3.4724657072810907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0336,3.3561137577886737,3.3561137577886737,3.705233183613009,0.0,0.0,0.0,3.4724868997301193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0504,3.3561463229178345,3.3561463229178345,3.7052740198352443,0.0,0.0,0.0,3.4725222218903045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0672,3.356191916743148,3.356191916743148,3.7053311941527967,0.0,0.0,0.0,3.4725716758796974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.084,3.3562505419098434,3.3562505419098434,3.705404710173021,0.0,0.0,0.0,3.4726352646642358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1008,3.356322201819902,3.356322201819902,3.7054945725354496,0.0,0.0,0.0,3.4727129920584177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1176,3.3564069006327846,3.3564069006327846,3.705600786912792,0.0,0.0,0.0,3.4728048627261203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1344,3.3565046432664256,3.3565046432664256,3.705723360012257,0.0,0.0,0.0,3.472910882181703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1512,3.356615435398221,3.356615435398221,3.7058622995771,0.0,0.0,0.0,3.473031056791181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.168,3.3567392834663314,3.3567392834663314,3.706017614388466,0.0,0.0,0.0,3.47316539377371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1848,3.3568761946711225,3.3568761946711225,3.706189314267383,0.0,0.0,0.0,3.473313901203209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2016,3.3570261769766354,3.3570261769766354,3.706377410077046,0.0,0.0,0.0,3.4734765880101057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2184,3.3571892391124947,3.3571892391124947,3.7065819137253873,0.0,0.0,0.0,3.473653463983459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2352,3.3573653905756915,3.3573653905756915,3.7068028381678233,0.0,0.0,0.0,3.4738445397730686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.252,3.3575546416327784,3.3575546416327784,3.7070401974102496,0.0,0.0,0.0,3.4740498268919353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2688,3.3577570033221003,3.3577570033221003,3.7072940065123676,0.0,0.0,0.0,3.4742693377188565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2856,3.357972487456244,3.357972487456244,3.707564281591182,0.0,0.0,0.0,3.4745030855012238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3024,3.358201106624669,3.358201106624669,3.7078510398247415,0.0,0.0,0.0,3.4747510843580263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3192,3.358442874196418,3.358442874196418,3.7081542994562913,0.0,0.0,0.0,3.475013349283042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.336,3.358697804323271,3.358697804323271,3.7084740797983753,0.0,0.0,0.0,3.475289896148306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3527,3.3589642770482206,3.3589642770482206,3.7088083503461324,0.0,0.0,0.0,3.475578968147525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3695,3.3592454993077925,3.3592454993077925,3.709161135695426,0.0,0.0,0.0,3.475884044770337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3863,3.35953993120522,3.35953993120522,3.7095305060188517,0.0,0.0,0.0,3.476203456143097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4031,3.359847590051382,3.359847590051382,3.70991648494827,0.0,0.0,0.0,3.476537221683678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4199,3.3601684939574095,3.3601684939574095,3.710319097210285,0.0,0.0,0.0,3.476885361708368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4367,3.3605026618387033,3.3605026618387033,3.7107383686321955,0.0,0.0,0.0,3.477247897436534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4535,3.3608501134192297,3.3608501134192297,3.7111743261480994,0.0,0.0,0.0,3.4776248509955194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4703,3.361210869236064,3.361210869236064,3.7116269978054146,0.0,0.0,0.0,3.4780162454258474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
