energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,4.35753646630763,4.207007201076895,4.097255428308545,0.0,0.0,0.0,4.220599698564357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2369
0.016,4.357552141284675,4.207027212017049,4.097273503021611,0.0,0.0,0.0,4.220617618774445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0321,4.357599560091859,4.20708774889314,4.09732818236703,0.0,0.0,0.0,4.2206718304506765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0481,4.357678137813817,4.207188068631675,4.097418794939433,0.0,0.0,0.0,4.220761667128309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0641,4.357788077866751,4.207328436983415,4.097545580391778,0.0,0.0,0.0,4.220887365080649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0802,4.357930371732277,4.2075101284924,4.09770968938777,0.0,0.0,0.0,4.2210500632041486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0962,4.358103264209285,4.207730912971331,4.097909106862792,0.0,0.0,0.0,4.2212477613478026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1122,4.358307556178179,4.20799182637535,4.0981447676777485,0.0,0.0,0.0,4.221481383410426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1283,4.358544837525495,4.2082949155020195,4.09841851950198,0.0,0.0,0.0,4.221752757509832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1443,4.3588121813982,4.208636460145639,4.0987270010625965,0.0,0.0,0.0,4.222058547535479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
