energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.3545262356337116,3.3545262356337116,3.3545262356337116,0.0,0.0,0.0,3.3545262356337116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8517000000000006
0.0168,3.3545326055527194,3.3545326055527194,3.3545326055527194,0.0,0.0,0.0,3.3545326055527194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0337,3.354551867562064,3.354551867562064,3.354551867562064,0.0,0.0,0.0,3.354551867562064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0505,3.3545837947872412,3.3545837947872412,3.3545837947872412,0.0,0.0,0.0,3.354583794787241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0674,3.3546287691265926,3.3546287691265926,3.3546287691265926,0.0,0.0,0.0,3.354628769126593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0842,3.354686260857651,3.354686260857651,3.354686260857651,0.0,0.0,0.0,3.354686260857651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1011,3.3547569576704213,3.3547569576704213,3.3547569576704213,0.0,0.0,0.0,3.3547569576704213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1179,3.354840026876517,3.354840026876517,3.354840026876517,0.0,0.0,0.0,3.354840026876517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1348,3.354936462114656,3.354936462114656,3.354936462114656,0.0,0.0,0.0,3.354936462114656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1516,3.3550451275449826,3.3550451275449826,3.3550451275449826,0.0,0.0,0.0,3.3550451275449826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1685,3.355167322982072,3.355167322982072,3.355167322982072,0.0,0.0,0.0,3.3551673229820715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1853,3.3553016091813674,3.3553016091813674,3.3553016091813674,0.0,0.0,0.0,3.3553016091813674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2022,3.355449592430558,3.355449592430558,3.355449592430558,0.0,0.0,0.0,3.355449592430558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.219,3.35560952975929,3.35560952975929,3.35560952975929,0.0,0.0,0.0,3.35560952975929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2359,3.3557833342961088,3.3557833342961088,3.3557833342961088,0.0,0.0,0.0,3.3557833342961083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2527,3.355968958955553,3.355968958955553,3.355968958955553,0.0,0.0,0.0,3.3559689589555526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2695,3.356167404515364,3.356167404515364,3.356167404515364,0.0,0.0,0.0,3.356167404515364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2864,3.3563799782077535,3.3563799782077535,3.3563799782077535,0.0,0.0,0.0,3.3563799782077535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3032,3.3566041763474237,3.3566041763474237,3.3566041763474237,0.0,0.0,0.0,3.3566041763474233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3201,3.3568426807817673,3.3568426807817673,3.3568426807817673,0.0,0.0,0.0,3.3568426807817673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3369,3.357092682437685,3.357092682437685,3.357092682437685,0.0,0.0,0.0,3.357092682437685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3538,3.3573571718493747,3.3573571718493747,3.3573571718493747,0.0,0.0,0.0,3.3573571718493747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3706,3.3576330339252887,3.3576330339252887,3.3576330339252887,0.0,0.0,0.0,3.3576330339252887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3875,3.35792356857588,3.35792356857588,3.35792356857588,0.0,0.0,0.0,3.3579235685758797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4043,3.3582253539904983,3.3582253539904983,3.3582253539904983,0.0,0.0,0.0,3.3582253539904983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4212,3.35854200021818,3.35854200021818,3.35854200021818,0.0,0.0,0.0,3.3585420002181805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.438,3.358869777957988,3.358869777957988,3.358869777957988,0.0,0.0,0.0,3.358869777957988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4549,3.3592126082334435,3.3592126082334435,3.3592126082334435,0.0,0.0,0.0,3.3592126082334435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4717,3.359566453410831,3.359566453410831,3.359566453410831,0.0,0.0,0.0,3.359566453410831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4886,3.3599355463983556,3.3599355463983556,3.3599355463983556,0.0,0.0,0.0,3.3599355463983556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5054,3.3603155403152214,3.3603155403152214,3.3603155403152214,0.0,0.0,0.0,3.3603155403152214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5222,3.3607086021172368,3.3607086021172368,3.3607086021172368,0.0,0.0,0.0,3.3607086021172368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5391,3.3611172111564764,3.3611172111564764,3.3611172111564764,0.0,0.0,0.0,3.361117211156477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5559,3.3615365552697054,3.3615365552697054,3.3615365552697054,0.0,0.0,0.0,3.3615365552697054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
