energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,4.364930728601191,4.364930728601191,4.125788982296713,0.0,0.0,0.0,4.2852168131663655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1983999999999995
0.0195,4.364948763159854,4.364948763159854,4.125804740169414,0.0,0.0,0.0,4.285234088829707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0389,4.365002499160505,4.365002499160505,4.125851692523191,0.0,0.0,0.0,4.2852855636147344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0584,4.365092495985216,4.365092495985216,4.125930328110441,0.0,0.0,0.0,4.285371773360292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0778,4.365217839531413,4.365217839531413,4.126039848203544,0.0,0.0,0.0,4.285491842422123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0973,4.365379834607351,4.365379834607351,4.1261813928602304,0.0,0.0,0.0,4.285647020691644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1167,4.365576835828096,4.365576835828096,4.126353524371648,0.0,0.0,0.0,4.28583573200928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1362,4.365810893960205,4.365810893960205,4.126558034564798,0.0,0.0,0.0,4.286059940828403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1556,4.366079631691585,4.366079631691585,4.126792846187971,0.0,0.0,0.0,4.286317369857048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1751,4.366385846584128,4.366385846584128,4.127060403567195,0.0,0.0,0.0,4.286610698911818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1945,4.366726428466091,4.366726428466091,4.1273579890958345,0.0,0.0,0.0,4.286936948676005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.214,4.3671049228377665,4.3671049228377665,4.127688700595376,0.0,0.0,0.0,4.287299515423636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2334,4.367517485446686,4.367517485446686,4.128049179040728,0.0,0.0,0.0,4.2876947166447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2529,4.3679684111818275,4.3679684111818275,4.128443177013337,0.0,0.0,0.0,4.288126666458997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2723,4.368453120198758,4.368453120198758,4.128866692753391,0.0,0.0,0.0,4.288590977716969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2918,4.368976658534715,4.368976658534715,4.129324135136306,0.0,0.0,0.0,4.289092484068578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3112,4.369533708950083,4.369533708950083,4.129810858097109,0.0,0.0,0.0,4.289626091999092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3307,4.370130070701389,4.370130070701389,4.1303319286107865,0.0,0.0,0.0,4.290197356671189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3501,4.370759687056626,4.370759687056626,4.130882054480463,0.0,0.0,0.0,4.290800476197905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3696,4.371429112876546,4.371429112876546,4.131466962860317,0.0,0.0,0.0,4.291441729537803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.389,4.372131549543079,4.372131549543079,4.132080713336398,0.0,0.0,0.0,4.292114604140852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4085,4.3728743102233745,4.3728743102233745,4.132729695598296,0.0,0.0,0.0,4.292826105348348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4279,4.373649851720049,4.373649851720049,4.13340731866894,0.0,0.0,0.0,4.293569007369679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4474,4.374466248529433,4.374466248529433,4.134120637409301,0.0,0.0,0.0,4.294351044822722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4668,4.375315209878819,4.375315209878819,4.134862407669104,0.0,0.0,0.0,4.295164275808914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
