energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.9731007278262265,3.9731007278262265,4.085373699659032,0.0,0.0,0.0,4.010525051770495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6071999999999997
0.0167,3.9731126128092518,3.9731126128092518,4.085386475596225,0.0,0.0,0.0,4.010537233738243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0333,3.9731479844444593,3.9731479844444593,4.0854244988834125,0.0,0.0,0.0,4.010573489257443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.05,3.9732072717066647,3.9732072717066647,4.085488230738484,0.0,0.0,0.0,4.0106342580506045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0667,3.97329033739254,3.97329033739254,4.08557752381453,0.0,0.0,0.0,4.010719399533204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0833,3.973396477470853,3.973396477470853,4.0856916214948455,0.0,0.0,0.0,4.010828192145517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,3.9735269791757126,3.9735269791757126,4.085831907775349,0.0,0.0,0.0,4.010961955375591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1167,3.9736812846962817,3.9736812846962817,4.085997783338394,0.0,0.0,0.0,4.0111201175769855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1333,3.973858268792862,3.973858268792862,4.086188038932466,0.0,0.0,0.0,4.011301525506063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.15,3.974060077888571,3.974060077888571,4.08640498235936,0.0,0.0,0.0,4.011508379378834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1667,3.97428573318406,3.97428573318406,4.086647561910127,0.0,0.0,0.0,4.011739676092749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1833,3.974533687448171,3.974533687448171,4.086914114833677,0.0,0.0,0.0,4.011993829910007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2,3.9748069478447765,3.9748069478447765,4.087207874453433,0.0,0.0,0.0,4.012273923380995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2167,3.9751041139137127,3.9751041139137127,4.087527335926859,0.0,0.0,0.0,4.012578521251428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
