energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,4.469492021200607,4.469492021200607,4.461495546858824,0.0,0.0,0.0,4.466826529753346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3282999999999996
0.0232,4.4695249664755305,4.4695249664755305,4.4615302970286,0.0,0.0,0.0,4.466860076659887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0464,4.469623809001817,4.469623809001817,4.461634555450082,0.0,0.0,0.0,4.466960724484572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0696,4.469788568888513,4.469788568888513,4.461808345865592,0.0,0.0,0.0,4.467128494547539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0928,4.470019279665463,4.470019279665463,4.462051707865015,0.0,0.0,0.0,4.467363422398647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.116,4.470315988305442,4.470315988305442,4.462364696914814,0.0,0.0,0.0,4.4676655578419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1392,4.470678755255294,4.470678755255294,4.4627473843987815,0.0,0.0,0.0,4.46803496496979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1625,4.47110964644196,4.47110964644196,4.463201959178747,0.0,0.0,0.0,4.468473750687555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1857,4.471605051096807,4.471605051096807,4.463724623119374,0.0,0.0,0.0,4.468978241770996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2089,4.472166777157469,4.472166777157469,4.4643172962834505,0.0,0.0,0.0,4.469550283532796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2321,4.472794939517101,4.472794939517101,4.4649801144374965,0.0,0.0,0.0,4.4701899978238995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2553,4.4734896668343875,4.4734896668343875,4.465713229647445,0.0,0.0,0.0,4.470897521105407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2785,4.4742511016194815,4.4742511016194815,4.466516810391525,0.0,0.0,0.0,4.471673004543496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3017,4.475079400329641,4.475079400329641,4.467391041685483,0.0,0.0,0.0,4.472516614114921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3249,4.47597473347419,4.47597473347419,4.4683361252207305,0.0,0.0,0.0,4.473428530723036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3481,4.476937285729571,4.476937285729571,4.469352279515199,0.0,0.0,0.0,4.47440895032478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3713,4.477967256064236,4.477967256064236,4.470439740077506,0.0,0.0,0.0,4.475458084068659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3945,4.479064857873546,4.479064857873546,4.471598759584509,0.0,0.0,0.0,4.476576158443867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4177,4.480230319125303,4.480230319125303,4.472829608072513,0.0,0.0,0.0,4.477763415441039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4409,4.481463882515666,4.481463882515666,4.474132573142523,0.0,0.0,0.0,4.479020112724618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4642,4.482771565724272,4.482771565724272,4.475514045788044,0.0,0.0,0.0,4.480352392412196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4874,4.4841424176797275,4.4841424176797275,4.476962492480668,0.0,0.0,0.0,4.481749109280041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5106,4.485582191229405,4.485582191229405,4.478484027729188,0.0,0.0,0.0,4.483216136729332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5338,4.487091189829108,4.487091189829108,4.480079011818841,0.0,0.0,0.0,4.484753797159019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.557,4.488669732610841,4.488669732610841,4.481747823849802,0.0,0.0,0.0,4.4863624296904945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5802,4.490318154607818,4.490318154607818,4.48349086203439,0.0,0.0,0.0,4.488042390416676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6034,4.492036806991848,4.492036806991848,4.485308544011247,0.0,0.0,0.0,4.489794052664981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6266,4.493826057323929,4.493826057323929,4.48720130717691,0.0,0.0,0.0,4.491617807274923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6498,4.495686289818106,4.495686289818106,4.489169609035449,0.0,0.0,0.0,4.493514062890553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.673,4.497617905619014,4.497617905619014,4.491213927566634,0.0,0.0,0.0,4.495483246268221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6962,4.499621323093874,4.499621323093874,4.493334761613337,0.0,0.0,0.0,4.497525802600362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7194,4.501696978138998,4.501696978138998,4.495532631288945,0.0,0.0,0.0,4.499642195855647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
