energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.928533700046555,3.928533700046555,3.671991431985474,0.0,0.0,0.0,3.8430196106928616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.629099999999999
0.0173,3.9285431201771575,3.9285431201771575,3.6719995126305722,0.0,0.0,0.0,3.843028584328296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0346,3.9285713811045904,3.9285713811045904,3.672023755026087,0.0,0.0,0.0,3.8430555057450895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0519,3.9286184844359626,3.9286184844359626,3.6720641605525968,0.0,0.0,0.0,3.8431003764748404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0691,3.9286839974880228,3.9286839974880228,3.6721203580551367,0.0,0.0,0.0,3.8431627843437273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0864,3.928768685770292,3.928768685770292,3.672193004197291,0.0,0.0,0.0,3.8432434585792916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1037,3.9288722276791574,3.9288722276791574,3.6722818231117444,0.0,0.0,0.0,3.843342092823353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.121,3.928994629105893,3.928994629105893,3.672386819859762,0.0,0.0,0.0,3.843458692690516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1383,3.929135897016471,3.929135897016471,3.6725080004259594,0.0,0.0,0.0,3.8435932648196336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1556,3.9292960394527423,3.9292960394527423,3.6726453717194607,0.0,0.0,0.0,3.843745816874982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
