energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.7624430249330127,2.7624430249330127,2.6381171212716286,0.0,0.0,0.0,2.7210010570458842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4117
0.0161,2.7624479854272614,2.7624479854272614,2.638120816786045,0.0,0.0,0.0,2.7210055958801895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0323,2.7624629906109313,2.7624629906109313,2.6381319954317286,0.0,0.0,0.0,2.7210193255511967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0484,2.7624878560315267,2.7624878560315267,2.638150519635108,0.0,0.0,0.0,2.7210420772327204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0645,2.762522644823391,2.762522644823391,2.6381764361666007,0.0,0.0,0.0,2.721073908604461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0806,2.7625673588358337,2.7625673588358337,2.6382097460345175,0.0,0.0,0.0,2.721114821235395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0968,2.762622370863353,2.762622370863353,2.638250726468462,0.0,0.0,0.0,2.7211651560650556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1129,2.7626870046674323,2.7626870046674323,2.6382988731303083,0.0,0.0,0.0,2.7212242941550575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.129,2.7627615724324315,2.7627615724324315,2.638354417893483,0.0,0.0,0.0,2.7212925209194485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1452,2.762846634069515,2.762846634069515,2.6384177770130903,0.0,0.0,0.0,2.72137034838404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1613,2.762941143957197,2.762941143957197,2.6384881707423338,0.0,0.0,0.0,2.7214568195522424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1774,2.7630456013310387,2.7630456013310387,2.638565969943933,0.0,0.0,0.0,2.72155239086867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1935,2.7631600117539854,2.7631600117539854,2.63865117764873,0.0,0.0,0.0,2.721657067052233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2097,2.7632851849380584,2.7632851849380584,2.6387443956221994,0.0,0.0,0.0,2.7217715884994385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2258,2.7634195822003873,2.7634195822003873,2.638844476655226,0.0,0.0,0.0,2.721894547018667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2419,2.763563952446347,2.763563952446347,2.638951977048313,0.0,0.0,0.0,2.722026627313669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.258,2.7637183033788717,2.7637183033788717,2.6390669009949965,0.0,0.0,0.0,2.72216783591758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2742,2.763883695214774,2.763883695214774,2.6391900361519296,0.0,0.0,0.0,2.7223191421938258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
