energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.2691693566051563,2.4097542042828777,2.4369114930093407,0.0,0.0,0.0,2.3719450179657913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9617
0.0183,2.2691710313008473,2.4097561816677358,2.43691345075048,0.0,0.0,0.0,2.3719468879063546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0366,2.269176055422582,2.40976211386683,2.436919324016028,0.0,0.0,0.0,2.3719524977684796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0549,2.26918442907433,2.40977200101373,2.436929112932407,0.0,0.0,0.0,2.371961847673489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0732,2.2691961524293642,2.4097858433310764,2.436942817710322,0.0,0.0,0.0,2.3719749378235875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0916,2.2692113173014863,2.4098037492534017,2.436960545693049,0.0,0.0,0.0,2.371991870749312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1099,2.2692297591686827,2.4098255245539724,2.4369821045664084,0.0,0.0,0.0,2.372012462763021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1282,2.269251551677325,2.409851256230355,2.43700758044207,0.0,0.0,0.0,2.3720367961165834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1465,2.2692766952785006,2.409880944862106,2.4370369738685373,0.0,0.0,0.0,2.372064871336381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1648,2.2693051904926946,2.409914591117994,2.4370702854787316,0.0,0.0,0.0,2.372096689029807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1831,2.269337037909853,2.409952195756012,2.4371075159899984,0.0,0.0,0.0,2.3721322498852877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2014,2.2693722381893884,2.409993759623446,2.4371486662042043,0.0,0.0,0.0,2.372171554672346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2197,2.2694107920602473,2.4100392836569333,2.4371937370077426,0.0,0.0,0.0,2.372214604241641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.238,2.2694527003209304,2.410088768882495,2.4372427293716195,0.0,0.0,0.0,2.372261399525015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2563,2.2694979638395782,2.4101422164156614,2.4372956443515035,0.0,0.0,0.0,2.372311941535581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2747,2.269546858457332,2.4101999520738264,2.437352804463405,0.0,0.0,0.0,2.372366538331521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.293,2.26959885372326,2.410261349596327,2.4374135896327758,0.0,0.0,0.0,2.3724245976507876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3113,2.269654207275831,2.4103267133183848,2.4374783011012235,0.0,0.0,0.0,2.372486407231813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3296,2.269712920262603,2.4103960447147124,2.437546940264241,0.0,0.0,0.0,2.3725519684138523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3479,2.2697749939010397,2.4104693453499224,2.4376195086023964,0.0,0.0,0.0,2.372621282617786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3662,2.269840429478604,2.410546616878626,2.4376960076813954,0.0,0.0,0.0,2.3726943513462087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3845,2.2699092283528426,2.410627861045575,2.4377764391522057,0.0,0.0,0.0,2.3727711761835413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4028,2.2699813919514797,2.410713079685741,2.437860804751126,0.0,0.0,0.0,2.3728517587961155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4211,2.270056921772461,2.4108022747244693,2.4379491062999405,0.0,0.0,0.0,2.3729361009322907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
