energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.321562295928655,2.3413855816443037,2.3219291566770677,0.0,0.0,0.02047345056160834,2.328292344750009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8673
0.0172,2.32156401188906,2.3413873573129544,2.3219308667937915,0.0,0.0,0.02047350192769222,2.3282940786652686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0344,2.321569159805761,2.3413926843561916,2.3219359971790863,0.0,0.0,0.020473656027418855,2.3282992804470126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0516,2.3215777397852766,2.341401562885922,2.3219445479383687,0.0,0.0,0.02047391286521267,2.328307950203189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0689,2.3215898318795354,2.3414140757423794,2.321956598849654,0.0,0.0,0.020474274839482772,2.3283201688238564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0861,2.321605296545501,2.3414300785308626,2.32197201084343,0.0,0.0,0.020474737775939725,2.328335795306598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1033,2.3216241940220375,2.341449633591348,2.3219908439511556,0.0,0.0,0.02047530348152717,2.328354890521514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1205,2.321646524700222,2.3414727413346608,2.3220130985598315,0.0,0.0,0.02047597197249157,2.328377454864905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1377,2.321672289042216,2.341499402246301,2.322038775126805,0.0,0.0,0.020476743268033185,2.328403488805107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1549,2.3217014875813025,2.3415296168864717,2.322067874179801,0.0,0.0,0.02047761739030744,2.3284329928825254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1722,2.3217343206948566,2.341563592615434,2.3221005954091014,0.0,0.0,0.020478600345287812,2.328466169573131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1894,2.321770409488413,2.341600937363585,2.322136561206622,0.0,0.0,0.02047968079754828,2.32850263601954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2066,2.3218099345104966,2.341641837974314,2.322175951500422,0.0,0.0,0.020480864160944034,2.328542574661744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2238,2.3218528965796423,2.3416862953074835,2.322218767100522,0.0,0.0,0.020482150469486274,2.328585986329216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.241,2.3218992965857055,2.341734310297924,2.3222650088874923,0.0,0.0,0.020483539760151562,2.3286328719237073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2582,2.3219491354899224,2.3417858839554095,2.322314677812548,0.0,0.0,0.020485032072884792,2.328683232419293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2754,2.3220024143249836,2.3418410173648083,2.3223677748976077,0.0,0.0,0.020486627450602174,2.3287370688624662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2927,2.322059474025182,2.341900063346172,2.322424639905782,0.0,0.0,0.020488336115705035,2.3287947257590456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3099,2.3221196561224815,2.3419623405283962,2.322484616607478,0.0,0.0,0.020490138363953563,2.3288555377527853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3271,2.322183281685436,2.34202818117593,2.3225480249671056,0.0,0.0,0.02049204382410371,2.3289198292761575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3443,2.3222503520335858,2.3420975866750062,2.322614866290426,0.0,0.0,0.020494052551007436,2.328987601666339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3615,2.3223208685582994,2.342170558487287,2.3226851419542696,0.0,0.0,0.020496164602505664,2.3290588563332855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3787,2.322394832722815,2.3422470981499792,2.3227588534066017,0.0,0.0,0.02049838003943297,2.329133594759799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3959,2.3224722460623743,2.3423272072759147,2.322836002166617,0.0,0.0,0.020500698925621934,2.3292118185016353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4132,2.3225535904174492,2.3424113845119283,2.32291706841584,0.0,0.0,0.020503135714445505,2.329294014448406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4304,2.322637927078726,2.342498658483952,2.3230011166424207,0.0,0.0,0.020505662305125405,2.3293792340683663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4476,2.322725717964043,2.342589507223459,2.323088607172879,0.0,0.0,0.020508292555033624,2.329467944120127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4648,2.322816964897986,2.3426839326473017,2.3231795418127064,0.0,0.0,0.02051102654006194,2.3295601464526645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.482,2.3229116697776826,2.3427819367485334,2.323273922439167,0.0,0.0,0.020513864339126345,2.329655842988461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4992,2.323009834572855,2.3428835215965056,2.323371751001357,0.0,0.0,0.020516806034172278,2.3297550357235726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5165,2.323112062305663,2.3429893112576177,2.3234736284402784,0.0,0.0,0.020519869721798614,2.3298583340011865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5337,2.323217173278449,2.3430980849633887,2.3235783790856357,0.0,0.0,0.020523020072110622,2.3299645457758245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5509,2.323325750525894,2.3432104460967786,2.323686583959249,0.0,0.0,0.020526274583021142,2.330074260193974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
