energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.187556350590276,3.4884215002452033,3.1680144825906242,0.0,0.0,0.0,3.2813307778087015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5564
0.0157,3.1875621507155305,3.488429052781896,3.168019900275596,0.0,0.0,0.0,3.2813370345910076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0314,3.187579551349835,3.4884517107889828,3.168036153572359,0.0,0.0,0.0,3.281355805237059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0471,3.187608553268779,3.488489475457494,3.168063243206383,0.0,0.0,0.0,3.2813870906442184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0628,3.1876491577651547,3.4885423487727296,3.1681011703869344,0.0,0.0,0.0,3.2814308923082733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0786,3.1877017363865043,3.4886108149776964,3.168150282165508,0.0,0.0,0.0,3.2814876111765696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0943,3.187765625922405,3.488694011007914,3.1682099590644928,0.0,0.0,0.0,3.281556531998271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.11,3.187841125038981,3.4887923264401945,3.1682804800608975,0.0,0.0,0.0,3.2816379771800244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1257,3.1879282371034154,3.4889057664461522,3.1683618483044307,0.0,0.0,0.0,3.281731950617999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1414,3.188026966001605,3.4890343369943735,3.1684540674300994,0.0,0.0,0.0,3.2818384568086927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1571,3.1881373161386484,3.489178044851381,3.1685571415586167,0.0,0.0,0.0,3.2819575008495487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1728,3.1882592924394637,3.4893368975826258,3.1686710752970506,0.0,0.0,0.0,3.2820890884397134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1885,3.1883929003493754,3.489510903553733,3.168795873739356,0.0,0.0,0.0,3.2822332258808213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2043,3.188539108277448,3.4897013254422795,3.168932441451151,0.0,0.0,0.0,3.282390958390293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.22,3.1886960720150044,3.489905762870039,3.1690790558310837,0.0,0.0,0.0,3.2825602969053755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2357,3.1888646868742176,3.4901253835200023,3.1692365531690445,0.0,0.0,0.0,3.282742207854421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2514,3.1890449603934115,3.4903601989775823,3.169404940517522,0.0,0.0,0.0,3.2829366999628387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2671,3.189236900635573,3.490610221636086,3.169584225420038,0.0,0.0,0.0,3.283143782563899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2828,3.1894405161895474,3.490875464698555,3.169774415912259,0.0,0.0,0.0,3.2833634656001203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2985,3.18965581617102,3.4911559421798635,3.1699755205230455,0.0,0.0,0.0,3.283595759624643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3142,3.189882810223815,3.491451668908885,3.170187548275659,0.0,0.0,0.0,3.283840675802786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.33,3.1901230664272155,3.4917646903279507,3.170411963879328,0.0,0.0,0.0,3.284099906878165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3457,3.1903735543260012,3.492091060694645,3.170645936700826,0.0,0.0,0.0,3.2843701839071575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3614,3.1906357684826467,3.4924327298160565,3.1708908627814654,0.0,0.0,0.0,3.284653120360056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3771,3.1909097206702763,3.4927897158066457,3.1711467531382405,0.0,0.0,0.0,3.284948729871721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3928,3.1911954231972293,3.4931620376076733,3.171413619289441,0.0,0.0,0.0,3.285257026698114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4085,3.1914928889086793,3.493549714990213,3.171691473256206,0.0,0.0,0.0,3.2855780257183667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4242,3.191802131188354,3.4939527685582394,3.1719803275641865,0.0,0.0,0.0,3.2859117424369266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4399,3.1921231639602845,3.4943712197518217,3.1722801952452677,0.0,0.0,0.0,3.286258192985791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4557,3.192458159542987,3.494807903830579,3.1725931054308094,0.0,0.0,0.0,3.2866197229347915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
