energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.641538861134375,2.7158308408779157,2.677533314510379,0.0,0.0,0.0,2.6783010055075565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8771
0.0168,2.6415420064569615,2.7158342280102716,2.677536629499478,0.0,0.0,0.0,2.678304287988904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0336,2.641551442536705,2.7158443895286153,2.677546574585982,0.0,0.0,0.0,2.678314135550434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0504,2.6415671697094787,2.7158613257967588,2.6775631501274932,0.0,0.0,0.0,2.678330548544577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0672,2.6415891885351295,2.7158850374211068,2.677586356720148,0.0,0.0,0.0,2.678353527558795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.084,2.641617499797539,2.7159155252506837,2.677616195198521,0.0,0.0,0.0,2.6783830734155814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1008,2.641652104504722,2.7159527903773246,2.6776526666359004,0.0,0.0,0.0,2.678419187172649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1176,2.6416930038889275,2.7159968341357255,2.677695772344288,0.0,0.0,0.0,2.6784618701229803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1344,2.6417401994068195,2.7160476581036335,2.6777455138746182,0.0,0.0,0.0,2.678511123795024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1512,2.6417936927395917,2.716105264101987,2.6778018930169094,0.0,0.0,0.0,2.6785669499528293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1679,2.6418531112405716,2.7161692508458453,2.6778645170411437,0.0,0.0,0.0,2.6786289597091866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1847,2.641919168628305,2.716240386939464,2.677934138192544,0.0,0.0,0.0,2.678697897920104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2015,2.641991530209432,2.7163183119721497,2.6780104037471695,0.0,0.0,0.0,2.6787734153095837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2183,2.64207019856435,2.7164030287387213,2.6780933164523693,0.0,0.0,0.0,2.678855514585147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2351,2.642155176499312,2.7164945402786236,2.678182879295969,0.0,0.0,0.0,2.678944198691301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2519,2.642246467046741,2.7165928498761716,2.6782790955065447,0.0,0.0,0.0,2.679039470809819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
