energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.651120022292577,2.651120022292577,2.5705208770554697,0.0,0.0,0.0,2.624253640546874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7841000000000005
0.0173,2.6511228505707694,2.6511228505707694,2.5705234092359746,0.0,0.0,0.0,2.624256370125838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0346,2.651131335483667,2.651131335483667,2.570531005842996,0.0,0.0,0.0,2.6242645589367766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0518,2.651145379266251,2.651145379266251,2.570543579333169,0.0,0.0,0.0,2.6242781126218904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0691,2.6511651456075604,2.6511651456075604,2.570561276235443,0.0,0.0,0.0,2.624297189150188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0864,2.65119056975458,2.65119056975458,2.5705840385438647,0.0,0.0,0.0,2.624321726017675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1037,2.651221652411343,2.651221652411343,2.5706118668473583,0.0,0.0,0.0,2.624351723890015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1209,2.6512581657930276,2.6512581657930276,2.5706445571607706,0.0,0.0,0.0,2.6243869629156085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1382,2.6513005354861092,2.6513005354861092,2.5706824904507988,0.0,0.0,0.0,2.6244278538076724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1555,2.6513485667345207,2.6513485667345207,2.570725492283648,0.0,0.0,0.0,2.6244742085842296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1728,2.6514022608688768,2.6514022608688768,2.5707735637724056,0.0,0.0,0.0,2.6245260285033862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.19,2.651461259984657,2.651461259984657,2.570826384406473,0.0,0.0,0.0,2.6245829681252624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2073,2.65152625175466,2.65152625175466,2.570884569748255,0.0,0.0,0.0,2.6246456910858584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2246,2.6515969113346927,2.6515969113346927,2.5709478288649277,0.0,0.0,0.0,2.624713883844771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2419,2.6516732406836674,2.6516732406836674,2.571016163395055,0.0,0.0,0.0,2.62478754825413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2591,2.651754751620339,2.651754751620339,2.5710891361712074,0.0,0.0,0.0,2.624866213137295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2764,2.651842394209316,2.651842394209316,2.5711675976069177,0.0,0.0,0.0,2.62495079534185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2937,2.6519357133761434,2.6519357133761434,2.5712511401513374,0.0,0.0,0.0,2.6250408556345413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.311,2.6520347117105776,2.6520347117105776,2.571339765970531,0.0,0.0,0.0,2.6251363964638954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3282,2.6521387705403514,2.6521387705403514,2.571432921060897,0.0,0.0,0.0,2.6252368207138663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3455,2.65224910274422,2.65224910274422,2.571531691040234,0.0,0.0,0.0,2.6253432988428913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3628,2.6523651228181873,2.6523651228181873,2.5716355515728377,0.0,0.0,0.0,2.625455265736404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3801,2.6524868339861856,2.6524868339861856,2.5717445053549532,0.0,0.0,0.0,2.6255727244424416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3973,2.652613486813081,2.652613486813081,2.5718578813192567,0.0,0.0,0.0,2.625694951648473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4146,2.652746557531649,2.652746557531649,2.5719770007391993,0.0,0.0,0.0,2.6258233719341657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4319,2.6528853299515527,2.6528853299515527,2.572101222279299,0.0,0.0,0.0,2.6259572940608016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4492,2.6530298079350336,2.6530298079350336,2.572230549169236,0.0,0.0,0.0,2.6260967216797675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4664,2.6531791109544285,2.6531791109544285,2.572364193002141,0.0,0.0,0.0,2.6262408049703327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4837,2.653334979254477,2.653334979254477,2.5725037112570956,0.0,0.0,0.0,2.62639122325535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.501,2.6534965656439544,2.6534965656439544,2.5726483453356135,0.0,0.0,0.0,2.6265471588745073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5183,2.65366387462844,2.65366387462844,2.5727980990048023,0.0,0.0,0.0,2.6267086160872273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
