energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.4870658575541524,3.4870658575541524,3.4870658575541524,0.0,0.0,0.0,3.487065857554152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4924
0.0178,3.487072661084437,3.487072661084437,3.487072661084437,0.0,0.0,0.0,3.487072661084437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0357,3.4870932250925484,3.4870932250925484,3.4870932250925484,0.0,0.0,0.0,3.4870932250925484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0535,3.487127320749687,3.487127320749687,3.487127320749687,0.0,0.0,0.0,3.487127320749687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0714,3.4871753327266095,3.4871753327266095,3.4871753327266095,0.0,0.0,0.0,3.4871753327266095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0892,3.4872367267637756,3.4872367267637756,3.4872367267637756,0.0,0.0,0.0,3.4872367267637756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.107,3.487311735652512,3.487311735652512,3.487311735652512,0.0,0.0,0.0,3.487311735652512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1249,3.4874008991950673,3.4874008991950673,3.4874008991950673,0.0,0.0,0.0,3.4874008991950673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1427,3.4875032252143643,3.4875032252143643,3.4875032252143643,0.0,0.0,0.0,3.4875032252143643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1605,3.487619178242456,3.487619178242456,3.487619178242456,0.0,0.0,0.0,3.487619178242456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1784,3.487749530097607,3.487749530097607,3.487749530097607,0.0,0.0,0.0,3.487749530097607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1962,3.4878928302795993,3.4878928302795993,3.4878928302795993,0.0,0.0,0.0,3.4878928302795997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2141,3.488050695526457,3.488050695526457,3.488050695526457,0.0,0.0,0.0,3.488050695526457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2319,3.488221369185178,3.488221369185178,3.488221369185178,0.0,0.0,0.0,3.488221369185178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2497,3.4884057026490103,3.4884057026490103,3.4884057026490103,0.0,0.0,0.0,3.48840570264901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
