energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.4728106777843437,2.5609124457809282,2.5735819610793094,0.0,0.0,0.056621863652139434,2.5357683615481936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4732
0.0173,2.4728129219917125,2.5609148477810884,2.573584475924252,0.0,0.0,0.05662200945483416,2.535770748565684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0347,2.4728197066336968,2.5609221094606913,2.5735920787570743,0.0,0.0,0.05662245024488676,2.5357779649504875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.052,2.4728309538918825,2.5609341475348284,2.5736046823893544,0.0,0.0,0.05662318097343626,2.5357899279386884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0693,2.472846690061342,2.5609509901556953,2.5736223163111696,0.0,0.0,0.05662420336029557,2.5358066655094023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0867,2.4728670454884014,2.560972776846496,2.573645126622533,0.0,0.0,0.05662552589044729,2.5358283163191433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.104,2.4728917867006985,2.56099925773359,2.573672851737463,0.0,0.0,0.05662713341548349,2.53585463205725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1213,2.4729210183141532,2.5610305448071102,2.573705608941311,0.0,0.0,0.05662903275764163,2.5358857240208583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1387,2.472954949030581,2.5610668614661805,2.5737436321711598,0.0,0.0,0.056631237508021535,2.53592181422264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.156,2.4729931896722253,2.561107791191912,2.5737864853813828,0.0,0.0,0.05663372241320068,2.5359624887485066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1734,2.473036183276134,2.561153808204443,2.573834665130683,0.0,0.0,0.05663651630156185,2.53600821887042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1907,2.4730834367155214,2.5612043847309884,2.5738876189001223,0.0,0.0,0.056639587171680376,2.536058480115544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.208,2.473135185252019,2.5612597726120585,2.573945610430192,0.0,0.0,0.05664295035962146,2.5361135227647567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2254,2.4731917683422147,2.561320335217286,2.5740090202449135,0.0,0.0,0.056646627981958846,2.536173707934805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2427,2.473252536991742,2.5613853779501596,2.574077121169939,0.0,0.0,0.056650577915011546,2.5362383453706134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.26,2.47331780488444,2.561455236600679,2.574150264863605,0.0,0.0,0.056654820608145647,2.536307768782908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2774,2.4733879899954356,2.5615303585939584,2.574228919884116,0.0,0.0,0.05665938330152268,2.5363824228245035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2947,2.47346228731964,2.561609882352238,2.5743121842289147,0.0,0.0,0.05666421373397707,2.5364614513002643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
