energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.4905675330509873,3.4905675330509873,3.4905675330509873,0.0,0.0,0.0,3.4905675330509873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6317999999999997
0.0177,3.4905761279066994,3.4905761279066994,3.4905761279066994,0.0,0.0,0.0,3.4905761279066994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0355,3.490602107758788,3.490602107758788,3.490602107758788,0.0,0.0,0.0,3.490602107758788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0532,3.4906451830136307,3.4906451830136307,3.4906451830136307,0.0,0.0,0.0,3.490645183013631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.071,3.4907058442868597,3.4907058442868597,3.4907058442868597,0.0,0.0,0.0,3.4907058442868597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0887,3.490783415398764,3.490783415398764,3.490783415398764,0.0,0.0,0.0,3.4907834153987642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1065,3.4908787798684595,3.4908787798684595,3.4908787798684595,0.0,0.0,0.0,3.4908787798684595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1242,3.490990874693947,3.490990874693947,3.490990874693947,0.0,0.0,0.0,3.490990874693947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.142,3.491120976623504,3.491120976623504,3.491120976623504,0.0,0.0,0.0,3.491120976623504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1597,3.4912676354611336,3.4912676354611336,3.4912676354611336,0.0,0.0,0.0,3.4912676354611336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1775,3.491432521655454,3.491432521655454,3.491432521655454,0.0,0.0,0.0,3.491432521655454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1952,3.4916137973087817,3.4916137973087817,3.4916137973087817,0.0,0.0,0.0,3.4916137973087817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.213,3.491813527187546,3.491813527187546,3.491813527187546,0.0,0.0,0.0,3.491813527187546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2307,3.4920294850478624,3.4920294850478624,3.4920294850478624,0.0,0.0,0.0,3.4920294850478624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2485,3.4922641307387763,3.4922641307387763,3.4922641307387763,0.0,0.0,0.0,3.4922641307387763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
