energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.3554281597378117,3.387652690097851,3.4042575274578457,0.0,0.0,0.0,3.3824461257645027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3306000000000004
0.0216,3.355436948670059,3.38766164954345,3.404266613814684,0.0,0.0,0.0,3.3824550706760643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0431,3.3554631534355432,3.3876883627124488,3.4042937053811113,0.0,0.0,0.0,3.3824817405097014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0647,3.355507019423404,3.3877330797760257,3.404339055882058,0.0,0.0,0.0,3.3825263850271625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0862,3.35556814315641,3.3877953894638853,3.404402248238004,0.0,0.0,0.0,3.382588593619433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1078,3.355647097015978,3.3878758753125613,3.40448387427512,0.0,0.0,0.0,3.3826689488678867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1293,3.3557431547896184,3.3879737970816857,3.404583183296431,0.0,0.0,0.0,3.3827667117225784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1509,3.3558572159940403,3.388090071820841,3.404701105380053,0.0,0.0,0.0,3.3828827977316447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1724,3.355988231504751,3.3882236301371815,3.4048365560254665,0.0,0.0,0.0,3.3830161392224665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.194,3.3561374281984384,3.3883757228254896,3.4049908037995573,0.0,0.0,0.0,3.3831679849411618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2155,3.356303433783099,3.3885449510767396,3.405162430129193,0.0,0.0,0.0,3.383336938329677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2371,3.356487802802164,3.3887328997477764,3.405353042393255,0.0,0.0,0.0,3.3835245816477317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2586,3.356688839461701,3.3889378402683286,3.405560887594049,0.0,0.0,0.0,3.3837291891080263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2802,3.3569084263607434,3.389161691959024,3.405787912332188,0.0,0.0,0.0,3.3839526768839856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3017,3.3571445437899294,3.3894023960615445,3.4060320287500003,0.0,0.0,0.0,3.3841929895338247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3233,3.357399402875268,3.389662206847311,3.406295523166656,0.0,0.0,0.0,3.3844523776297444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3449,3.3576719621560085,3.389940062835786,3.4065773191520097,0.0,0.0,0.0,3.384729781381268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3664,3.357960853868213,3.39023456989785,3.406876002908119,0.0,0.0,0.0,3.3850238088913938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.388,3.3582687833760767,3.390548486221556,3.407194371850093,0.0,0.0,0.0,3.3853372138159084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4095,3.3585929184723176,3.390878924787102,3.40752949812494,0.0,0.0,0.0,3.3856671137947867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
