energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.760976031761195,2.760976031761195,2.672660918588128,0.0,0.0,0.0,2.7315376607035056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2396
0.0244,2.760982540824793,2.760982540824793,2.6726667064636502,0.0,0.0,0.0,2.7315439293710786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0488,2.761002068424607,2.761002068424607,2.6726840704308077,0.0,0.0,0.0,2.7315627357600074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0732,2.7610346157877763,2.7610346157877763,2.6727130115113806,0.0,0.0,0.0,2.731594081028978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0976,2.761080184959774,2.761080184959774,2.672753531408614,0.0,0.0,0.0,2.7316379671093873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.122,2.7611387788048276,2.7611387788048276,2.6728056325074023,0.0,0.0,0.0,2.7316943967056857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1464,2.7612104010064327,2.7612104010064327,2.6728693178748295,0.0,0.0,0.0,2.731763373295898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1708,2.7612950560679916,2.7612950560679916,2.672944591260629,0.0,0.0,0.0,2.731844901132204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1952,2.7613927493137416,2.7613927493137416,2.6730314570979044,0.0,0.0,0.0,2.7319389852417957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2196,2.7615034868896933,2.7615034868896933,2.6731299205039196,0.0,0.0,0.0,2.7320456314277686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2441,2.7616278099607596,2.7616278099607596,2.673240462257893,0.0,0.0,0.0,2.7321653607264706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2685,2.761764711466257,2.761764711466257,2.673362186490186,0.0,0.0,0.0,2.7322972031409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2929,2.761914680720026,2.761914680720026,2.6734955277885275,0.0,0.0,0.0,2.7324416297428598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3173,2.7620777271716648,2.7620777271716648,2.6736404940200273,0.0,0.0,0.0,2.7325986494544523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3417,2.762253861099863,2.762253861099863,2.673797093741773,0.0,0.0,0.0,2.732768271980499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3661,2.7624430936143582,2.7624430936143582,2.6739653362023774,0.0,0.0,0.0,2.7329505078103646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3905,2.762645436657957,2.762645436657957,2.674145231343629,0.0,0.0,0.0,2.733145368219848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4149,2.7628609030088787,2.7628609030088787,2.6743367898022945,0.0,0.0,0.0,2.7333528652733503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4393,2.7630895062830296,2.7630895062830296,2.674540022912063,0.0,0.0,0.0,2.733573011826041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4637,2.7633312609366834,2.7633312609366834,2.674754942705518,0.0,0.0,0.0,2.733805821526295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4881,2.7635861822691554,2.7635861822691554,2.6749815619163995,0.0,0.0,0.0,2.7340513088182363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5125,2.7638542864256754,2.7638542864256754,2.675219893981846,0.0,0.0,0.0,2.734309488944399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5369,2.7641355904004863,2.7641355904004863,2.675469953044856,0.0,0.0,0.0,2.734580377948609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5613,2.76443011204001,2.76443011204001,2.675731753956831,0.0,0.0,0.0,2.734863992678951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5857,2.7647378700462815,2.7647378700462815,2.6760053122803127,0.0,0.0,0.0,2.735160350790958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
