energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.3315034931590413,2.3315034931590413,2.3340891948456415,0.0,0.0,0.0,2.332365393721241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0665
0.0243,2.331507239339399,2.331507239339399,2.3340930299379448,0.0,0.0,0.0,2.3323691695389144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0487,2.3315185397828246,2.3315185397828246,2.334104598594859,0.0,0.0,0.0,2.332380559386836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.073,2.3315373023804113,2.3315373023804113,2.3341238065465086,0.0,0.0,0.0,2.332399470435777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0973,2.3315635588886674,2.3315635588886674,2.3341506863450423,0.0,0.0,0.0,2.332425934707459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1216,2.3315973105114454,2.3315973105114454,2.334185239281556,0.0,0.0,0.0,2.3324599534348156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.146,2.3316387440336586,2.3316387440336586,2.3342276566520272,0.0,0.0,0.0,2.332501714906448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1703,2.331687521735231,2.331687521735231,2.3342775928097463,0.0,0.0,0.0,2.3325508787600695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1946,2.331743800236741,2.331743800236741,2.334335208203094,0.0,0.0,0.0,2.332607602892192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2189,2.331807582120294,2.331807582120294,2.3344005056015202,0.0,0.0,0.0,2.3326718899473695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2433,2.331879179193063,2.331879179193063,2.3344738043670796,0.0,0.0,0.0,2.3327440542510685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2676,2.331958007878262,2.331958007878262,2.3345545072131286,0.0,0.0,0.0,2.332823507656551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2919,2.3320443497790344,2.3320443497790344,2.334642902611791,0.0,0.0,0.0,2.33291053405662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3163,2.332138610649809,2.332138610649809,2.334739406167067,0.0,0.0,0.0,2.333005542488895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3406,2.332240022189045,2.332240022189045,2.3348432315095473,0.0,0.0,0.0,2.3331077586292124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3649,2.3323489599034364,2.3323489599034364,2.3349547633066132,0.0,0.0,0.0,2.3332175610378285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3892,2.3324654288031095,2.3324654288031095,2.335074006933179,0.0,0.0,0.0,2.333334954846466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4136,2.3325899601363558,2.3325899601363558,2.3352015065662055,0.0,0.0,0.0,2.333460475612972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4379,2.3327215388834652,2.3327215388834652,2.335336223273343,0.0,0.0,0.0,2.3335931003467576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4622,2.3328606659680524,2.3328606659680524,2.3354786702128107,0.0,0.0,0.0,2.3337333340496387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4865,2.333007347801794,2.333007347801794,2.335628854264524,0.0,0.0,0.0,2.3338811832893707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5109,2.333162241527198,2.333162241527198,2.335787448608803,0.0,0.0,0.0,2.3340373105544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5352,2.3333240846656382,2.3333240846656382,2.335953160956586,0.0,0.0,0.0,2.3342004434292876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5595,2.333493503936487,2.333493503936487,2.336126633364335,0.0,0.0,0.0,2.33437121374577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5839,2.3336712512559536,2.3336712512559536,2.336308636142925,0.0,0.0,0.0,2.3345503795516107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6082,2.333855877891488,2.333855877891488,2.3364976862816267,0.0,0.0,0.0,2.334736480688201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6325,2.3340481052480557,2.3340481052480557,2.336694522873393,0.0,0.0,0.0,2.3349302444565017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6568,2.3342479422269884,2.3342479422269884,2.336899155474226,0.0,0.0,0.0,2.3351316799760675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6812,2.3344562675716904,2.3344562675716904,2.337112484401839,0.0,0.0,0.0,2.33534167318174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7055,2.3346713833535064,2.3346713833535064,2.3373327714265386,0.0,0.0,0.0,2.335558512711184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7298,2.334894137667961,2.334894137667961,2.3375608855021706,0.0,0.0,0.0,2.3357830536126976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7541,2.335124540865378,2.335124540865378,2.3377968377441665,0.0,0.0,0.0,2.3360153064916407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7785,2.3353635991842916,2.3353635991842916,2.338041659195901,0.0,0.0,0.0,2.336256285854828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8028,2.3356093642517495,2.3356093642517495,2.338293355070058,0.0,0.0,0.0,2.336504027857852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8271,2.335862811499635,2.335862811499635,2.338552924876465,0.0,0.0,0.0,2.3367595159585783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8515,2.3361250433192744,2.3361250433192744,2.3388214982731776,0.0,0.0,0.0,2.3370238616372423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8758,2.336393922506805,2.336393922506805,2.3390968869874813,0.0,0.0,0.0,2.33729491066703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9001,2.3366705205130165,2.3366705205130165,2.3393801890007984,0.0,0.0,0.0,2.337573743342277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9244,2.336954850283078,2.336954850283078,2.339671418225445,0.0,0.0,0.0,2.3378603729305336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9488,2.337248143114287,2.337248143114287,2.3399718365642643,0.0,0.0,0.0,2.338156040930946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9731,2.3375480087164284,2.3375480087164284,2.3402789963520156,0.0,0.0,0.0,2.338458337928291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9974,2.3378556472478262,2.3378556472478262,2.3405941276027775,0.0,0.0,0.0,2.33876847403281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0217,2.338171073175899,2.338171073175899,2.3409172458725505,0.0,0.0,0.0,2.3390864640747826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0461,2.338495647651442,2.338495647651442,2.3412497463299093,0.0,0.0,0.0,2.3394136805442645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0704,2.3388267255211135,2.3388267255211135,2.341588920009529,0.0,0.0,0.0,2.339747457017252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
