energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.7334830764321025,3.7334830764321025,3.7334830764321025,0.0,0.0,0.0,3.7334830764321025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0159
0.0256,3.733500028597594,3.733500028597594,3.733500028597594,0.0,0.0,0.0,3.7335000285975943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0511,3.7335506222973667,3.7335506222973667,3.7335506222973667,0.0,0.0,0.0,3.7335506222973667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0767,3.7336352598368943,3.7336352598368943,3.7336352598368943,0.0,0.0,0.0,3.7336352598368943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1023,3.7337538182179557,3.7337538182179557,3.7337538182179557,0.0,0.0,0.0,3.7337538182179557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1278,3.7339056485965325,3.7339056485965325,3.7339056485965325,0.0,0.0,0.0,3.7339056485965325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1534,3.734091958291786,3.734091958291786,3.734091958291786,0.0,0.0,0.0,3.734091958291786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.179,3.7343122384088483,3.7343122384088483,3.7343122384088483,0.0,0.0,0.0,3.7343122384088487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2045,3.7345654534492776,3.7345654534492776,3.7345654534492776,0.0,0.0,0.0,3.7345654534492776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2301,3.734853616955208,3.734853616955208,3.734853616955208,0.0,0.0,0.0,3.734853616955208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2557,3.7351758336792047,3.7351758336792047,3.7351758336792047,0.0,0.0,0.0,3.735175833679205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2812,3.7355306805048043,3.7355306805048043,3.7355306805048043,0.0,0.0,0.0,3.735530680504804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
