energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.4881596555825327,2.4838642809681453,2.4794478154600714,0.0,0.0,0.0,2.4838239173369163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6661
0.0171,2.488161181853876,2.4838658042634583,2.4794493032884093,0.0,0.0,0.0,2.4838254298019145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0341,2.488165725040565,2.4838703385914136,2.4794537320427894,0.0,0.0,0.0,2.4838299318915893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0512,2.488173338660442,2.483877937365269,2.479461153891154,0.0,0.0,0.0,2.4838374766389553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0682,2.4881839337787,2.483888511823231,2.479471482135601,0.0,0.0,0.0,2.4838479759125107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0853,2.4881976352037674,2.4839021865297415,2.479484838436337,0.0,0.0,0.0,2.4838615533899486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1023,2.4882142828891167,2.4839188017496356,2.4795010667725066,0.0,0.0,0.0,2.4838780504704197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1194,2.4882340729412515,2.483938553206043,2.4795203583036955,0.0,0.0,0.0,2.483897661483663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1365,2.4882569166585906,2.4839613523693087,2.479542626554288,0.0,0.0,0.0,2.4839202985273956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1535,2.4882826540587253,2.4839870395677934,2.4795677155626388,0.0,0.0,0.0,2.4839458030630523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1706,2.4883115883232882,2.4840159173903595,2.4795959208615335,0.0,0.0,0.0,2.4839744755250606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1876,2.4883433814709264,2.4840476485133416,2.4796269129725657,0.0,0.0,0.0,2.484005980985611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
