energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,7.205789672997104,7.205789672997104,7.205789672997104,0.0,0.0,0.0,7.205789672997104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5332
0.0138,7.205838044240297,7.205838044240297,7.205838044240297,0.0,0.0,0.0,7.205838044240298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0277,7.205984571568019,7.205984571568019,7.205984571568019,0.0,0.0,0.0,7.2059845715680195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0415,7.206227173432774,7.206227173432774,7.206227173432774,0.0,0.0,0.0,7.206227173432775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0553,7.206566597792173,7.206566597792173,7.206566597792173,0.0,0.0,0.0,7.206566597792173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0692,7.2070064221832775,7.2070064221832775,7.2070064221832775,0.0,0.0,0.0,7.2070064221832775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.083,7.207540398654536,7.207540398654536,7.207540398654536,0.0,0.0,0.0,7.207540398654536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0968,7.208171438179569,7.208171438179569,7.208171438179569,0.0,0.0,0.0,7.208171438179569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1107,7.208905288477811,7.208905288477811,7.208905288477811,0.0,0.0,0.0,7.208905288477811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1245,7.209731525245705,7.209731525245705,7.209731525245705,0.0,0.0,0.0,7.209731525245705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1383,7.210655227789447,7.210655227789447,7.210655227789447,0.0,0.0,0.0,7.210655227789448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1522,7.2116843241604744,7.2116843241604744,7.2116843241604744,0.0,0.0,0.0,7.211684324160475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.166,7.212804197055004,7.212804197055004,7.212804197055004,0.0,0.0,0.0,7.212804197055004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1798,7.214022103326899,7.214022103326899,7.214022103326899,0.0,0.0,0.0,7.2140221033269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1937,7.215348165491446,7.215348165491446,7.215348165491446,0.0,0.0,0.0,7.215348165491446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2075,7.216763549793149,7.216763549793149,7.216763549793149,0.0,0.0,0.0,7.216763549793149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2213,7.218277703819392,7.218277703819392,7.218277703819392,0.0,0.0,0.0,7.218277703819392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2352,7.219902962771747,7.219902962771747,7.219902962771747,0.0,0.0,0.0,7.219902962771747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.249,7.221616246041139,7.221616246041139,7.221616246041139,0.0,0.0,0.0,7.2216162460411395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2628,7.223429209209292,7.223429209209292,7.223429209209292,0.0,0.0,0.0,7.223429209209292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2767,7.225356422618878,7.225356422618878,7.225356422618878,0.0,0.0,0.0,7.225356422618877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2905,7.227370521263059,7.227370521263059,7.227370521263059,0.0,0.0,0.0,7.227370521263059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3043,7.229485390191933,7.229485390191933,7.229485390191933,0.0,0.0,0.0,7.229485390191933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3181,7.231701433218349,7.231701433218349,7.231701433218349,0.0,0.0,0.0,7.23170143321835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.332,7.234036241620199,7.234036241620199,7.234036241620199,0.0,0.0,0.0,7.234036241620199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3458,7.236456670167732,7.236456670167732,7.236456670167732,0.0,0.0,0.0,7.236456670167732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3596,7.238979615721808,7.238979615721808,7.238979615721808,0.0,0.0,0.0,7.238979615721807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3735,7.241624974606775,7.241624974606775,7.241624974606775,0.0,0.0,0.0,7.241624974606775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3873,7.244355200412619,7.244355200412619,7.244355200412619,0.0,0.0,0.0,7.244355200412618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4011,7.247189486989238,7.247189486989238,7.247189486989238,0.0,0.0,0.0,7.247189486989238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.415,7.250150073792637,7.250150073792637,7.250150073792637,0.0,0.0,0.0,7.2501500737926365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4288,7.253194949846778,7.253194949846778,7.253194949846778,0.0,0.0,0.0,7.253194949846777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4426,7.256345643002625,7.256345643002625,7.256345643002625,0.0,0.0,0.0,7.256345643002625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4565,7.259626779260804,7.259626779260804,7.259626779260804,0.0,0.0,0.0,7.259626779260803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4703,7.2629918111036424,7.2629918111036424,7.2629918111036424,0.0,0.0,0.0,7.2629918111036424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4841,7.266464642687328,7.266464642687328,7.266464642687328,0.0,0.0,0.0,7.266464642687328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.498,7.270072335691717,7.270072335691717,7.270072335691717,0.0,0.0,0.0,7.270072335691718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5118,7.273763724987769,7.273763724987769,7.273763724987769,0.0,0.0,0.0,7.273763724987769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5256,7.277565139023926,7.277565139023926,7.277565139023926,0.0,0.0,0.0,7.277565139023925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5395,7.28150613048237,7.28150613048237,7.28150613048237,0.0,0.0,0.0,7.28150613048237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5533,7.285530825872447,7.285530825872447,7.285530825872447,0.0,0.0,0.0,7.2855308258724465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5671,7.289668032068904,7.289668032068904,7.289668032068904,0.0,0.0,0.0,7.289668032068904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.581,7.293949854815801,7.293949854815801,7.293949854815801,0.0,0.0,0.0,7.293949854815801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5948,7.2983156111554885,7.2983156111554885,7.2983156111554885,0.0,0.0,0.0,7.2983156111554885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6086,7.302796647216413,7.302796647216413,7.302796647216413,0.0,0.0,0.0,7.302796647216414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6225,7.307427691248326,7.307427691248326,7.307427691248326,0.0,0.0,0.0,7.307427691248326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6363,7.312143138587326,7.312143138587326,7.312143138587326,0.0,0.0,0.0,7.312143138587326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6501,7.316976942783521,7.316976942783521,7.316976942783521,0.0,0.0,0.0,7.316976942783522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.664,7.321966532184132,7.321966532184132,7.321966532184132,0.0,0.0,0.0,7.321966532184132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
