energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.0548151900188225,2.936995824391068,3.126750169845489,0.0,0.0,0.0,3.0395203947517935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2331
0.0145,3.05481905926377,2.936999516235656,3.126754604621281,0.0,0.0,0.0,3.039524393373569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.029,3.0548306671214642,2.937010591896758,3.1267679091106833,0.0,0.0,0.0,3.039536389376302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0435,3.054850013960488,2.9370290517563737,3.1267900837997904,0.0,0.0,0.0,3.039556383172217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.058,3.0548771003951987,2.9370548964512393,3.12682112949881,0.0,0.0,0.0,3.0395843754484155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0725,3.054911927285767,2.937088126872876,3.1268610473421785,0.0,0.0,0.0,3.03962036716694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0869,3.054954175648849,2.937128438749043,3.1269094719044412,0.0,0.0,0.0,3.039664028767445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1014,3.055004433610754,2.9371763933594313,3.126967077520895,0.0,0.0,0.0,3.039715968163693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1159,3.055062436073011,2.9372317378886637,3.1270335606160446,0.0,0.0,0.0,3.0397759115259064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1304,3.055128184878441,2.937294474246894,3.127108923620558,0.0,0.0,0.0,3.0398438609152976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1449,3.055201682116301,2.9373646045998143,3.127193169290307,0.0,0.0,0.0,3.039919818668808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1594,3.055282930122538,2.9374421313688925,3.12728630070666,0.0,0.0,0.0,3.0400037873993635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1739,3.0553719314799492,2.9375270572316485,3.1273883212768787,0.0,0.0,0.0,3.040095769996159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1884,3.0554686890184852,2.937619385121919,3.127499234734414,0.0,0.0,0.0,3.040195769624939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2029,3.0555732058154845,2.9377191182301954,3.127619045139433,0.0,0.0,0.0,3.040303789728371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2174,3.055685485195975,2.9378262600039564,3.1277477568791694,0.0,0.0,0.0,3.0404198340263675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2318,3.055804676229026,2.9379399987269914,3.1278843950702573,0.0,0.0,0.0,3.040543023342092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2463,3.0559324381442536,2.938061918042793,3.1280308624782753,0.0,0.0,0.0,3.0406750728884404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2608,3.05606797407858,2.9381912578823837,3.128186246312316,0.0,0.0,0.0,3.0408151594244264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2753,3.056211288349474,2.9383280227234803,3.1283505522711135,0.0,0.0,0.0,3.0409632877813557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2898,3.0563623855239515,2.9384722173029107,3.128523786383272,0.0,0.0,0.0,3.0411194630700447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3043,3.056521270418905,2.9386238466171952,3.1287059550080487,0.0,0.0,0.0,3.0412836906813836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3188,3.0566879481017124,2.938782915922995,3.128897064835995,0.0,0.0,0.0,3.0414559762869007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3333,3.056862423890601,2.9389494307378357,3.1290971228897537,0.0,0.0,0.0,3.041636325839397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3478,3.057044703355198,2.939123396840543,3.1293061365248294,0.0,0.0,0.0,3.0418247455735234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3623,3.0572347923170704,2.9393048202719876,3.129524113430455,0.0,0.0,0.0,3.0420212420065043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3767,3.057431305212798,2.939492379092326,3.1297494657293976,0.0,0.0,0.0,3.04222438334484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3912,3.057636977678113,2.939688684813491,3.129985331624827,0.0,0.0,0.0,3.0424369980388106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4057,3.0578504785764644,2.9398924675167524,3.1302301858083394,0.0,0.0,0.0,3.042657710633852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4202,3.0580718147412034,2.940103734296091,3.130484037310645,0.0,0.0,0.0,3.0428865287826468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4347,3.058300993260701,2.94032249251105,3.1307468955009092,0.0,0.0,0.0,3.0431234604242197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4492,3.058538021478917,2.9405487497876,3.1310187700877115,0.0,0.0,0.0,3.0433685137847433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
