energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.4754993884099004,2.4947223044799207,2.526623991833305,0.0,0.0,0.0,2.4989485615743754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6333
0.0149,2.475501287831021,2.4947242574731043,2.526626040378307,0.0,0.0,0.0,2.498950528560811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0299,2.4755070372147783,2.4947301690150643,2.5266322411474023,0.0,0.0,0.0,2.4989564824590818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0448,2.475516560032828,2.4947399604195017,2.526642511604394,0.0,0.0,0.0,2.4989663440189074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0598,2.475529984327108,2.494753763340527,2.526656989844578,0.0,0.0,0.0,2.498980245837404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0747,2.475547131410811,2.494771394052683,2.526675483153413,0.0,0.0,0.0,2.4989980028723022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0897,2.475568231840273,2.4947930896165844,2.526698240189672,0.0,0.0,0.0,2.4990198538821766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1046,2.4755930047540025,2.494818561250862,2.5267249580428732,0.0,0.0,0.0,2.4990455080159126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1195,2.4756215786309648,2.494847941060306,2.5267557752808285,0.0,0.0,0.0,2.4990750983240333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1345,2.4756541842481683,2.4948814663335614,2.526790940801334,0.0,0.0,0.0,2.4991088637943544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1494,2.475690387602258,2.4949186908288032,2.5268299865294352,0.0,0.0,0.0,2.499146354986832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1644,2.475730675476969,2.4949601150629395,2.52687343746972,0.0,0.0,0.0,2.4991880760032097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1793,2.4757745116130616,2.495005187654436,2.526920715263447,0.0,0.0,0.0,2.499233471510315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1942,2.475822152827118,2.4950541726673414,2.526972096893558,0.0,0.0,0.0,2.4992828074626723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2092,2.4758739583447293,2.4951074394640296,2.5270279697930382,0.0,0.0,0.0,2.4993364558672657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2241,2.475929238599623,2.4951642790320276,2.527087590259942,0.0,0.0,0.0,2.499393702630531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2391,2.4759887368813533,2.4952254556319,2.5271517599458195,0.0,0.0,0.0,2.499455317486358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.254,2.476051661228425,2.4952901549676754,2.5272196247141787,0.0,0.0,0.0,2.4995204803034263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.269,2.476118857712379,2.4953592469825407,2.5272920970694948,0.0,0.0,0.0,2.499590067254805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2839,2.4761894319043947,2.495431812022611,2.527368212362679,0.0,0.0,0.0,2.4996631520965615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2988,2.476263820592722,2.4955082992032462,2.5274484416811243,0.0,0.0,0.0,2.499740187159031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3138,2.4763425632285383,2.495589263200192,2.527533366836951,0.0,0.0,0.0,2.4998217310885607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3287,2.476424611697923,2.4956736263384713,2.5276218574287714,0.0,0.0,0.0,2.4999066984883886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3437,2.476511069215543,2.495762522962533,2.527715103297396,0.0,0.0,0.0,2.499996231825157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3586,2.4766007849789844,2.4958547698112126,2.527811863289541,0.0,0.0,0.0,2.5000891393599125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3736,2.4766949652980204,2.4959516072347165,2.527913438437637,0.0,0.0,0.0,2.500186670323458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3885,2.4767923565766745,2.4960517462773035,2.5280184767228655,0.0,0.0,0.0,2.5002875265256144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4034,2.4768935760676625,2.496155821614178,2.528127643869975,0.0,0.0,0.0,2.5003923471839387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4184,2.476999344056496,2.4962645738625504,2.528241716728499,0.0,0.0,0.0,2.500501878215849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4333,2.4771082527115507,2.4963765554774557,2.528359176931692,0.0,0.0,0.0,2.5006146617068996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4483,2.477221766413853,2.496493272168055,2.5284816038520592,0.0,0.0,0.0,2.5007322141446555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4632,2.47733837423441,2.4966131703812664,2.528607367928676,0.0,0.0,0.0,2.5008529708481175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4781,2.477458822719661,2.4967370177380737,2.528737274335316,0.0,0.0,0.0,2.500977704931017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4931,2.477583961784609,2.4968656881479285,2.528872239733654,0.0,0.0,0.0,2.5011072965553973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
