energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.481897856837055,3.6394048480813166,3.5355382348814253,0.0,0.0,0.0,3.5522803132665985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1063
0.0147,3.4819056280702307,3.6394143814023043,3.5355461105729686,0.0,0.0,0.0,3.5522887066818343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0293,3.481928731216042,3.639442723152954,3.535569524225223,0.0,0.0,0.0,3.5523136595314058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.044,3.481967484415505,3.6394902638645816,3.535608798138803,0.0,0.0,0.0,3.552355515472963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0587,3.4820217850774546,3.6395568781067134,3.535663828148752,0.0,0.0,0.0,3.5524141637776396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0734,3.4820916370991517,3.6396425712529554,3.535734617931616,0.0,0.0,0.0,3.5524896087612405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.088,3.4821764119196987,3.6397465729414122,3.535820530144841,0.0,0.0,0.0,3.552581171668651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1027,3.4822772769327393,3.63987031625668,3.5359227474171884,0.0,0.0,0.0,3.552690113535536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1174,3.48239371165365,3.6400131637762985,3.5360407417701394,0.0,0.0,0.0,3.55281587240003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1321,3.482525724450171,3.6401751270394738,3.5361745210962625,0.0,0.0,0.0,3.5529584575286357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1467,3.4826722680485758,3.6403549225636946,3.536323023465452,0.0,0.0,0.0,3.5531167380259077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
