energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.005812235500797,2.958959976550911,3.009963750711398,0.0,0.0,0.0,2.9915786542543685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3246
0.0151,3.005815853866835,2.958963569588256,3.0099674004377497,0.0,0.0,0.0,2.991582274630947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0302,3.005826709090258,2.9589743488292575,3.009978349742267,0.0,0.0,0.0,2.991593135887261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0454,3.0058449454888962,2.958992457595434,3.0099967441906696,0.0,0.0,0.0,2.9916113824249995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0605,3.0058703237409774,2.959017658262929,3.0100223423823156,0.0,0.0,0.0,2.9916367747954076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0756,3.0059029407368985,2.959050047075891,3.010055242040685,0.0,0.0,0.0,2.9916694099511587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0907,3.0059427976064534,2.9590896251973025,3.0100954442968426,0.0,0.0,0.0,2.991709289033533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1058,3.0059898957304525,2.959136394048513,3.0101429505330954,0.0,0.0,0.0,2.9917564134373538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1209,3.0060442367408453,2.959190355309372,3.0101977623832097,0.0,0.0,0.0,2.991810784811142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1361,3.0061062545265775,2.959251939907407,3.010260317480796,0.0,0.0,0.0,2.991872837304927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1512,3.0061751352116803,2.959320339729544,3.010329794882307,0.0,0.0,0.0,2.9919417566078437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1663,3.006251265204769,2.959395938571526,3.010406584326076,0.0,0.0,0.0,2.992017929367457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1814,3.0063346471463963,2.9594787391514954,3.010490688455369,0.0,0.0,0.0,2.9921013582510874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1965,3.0064252839295595,2.9595687444474903,3.010582110166146,0.0,0.0,0.0,2.9921920461810654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2117,3.00652385120955,2.959666625527321,3.010681530939634,0.0,0.0,0.0,2.992290669225502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2268,3.006629055467135,2.9597710980012146,3.0107876460297454,0.0,0.0,0.0,2.9923959331660317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
