energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.122802820988099,3.123692981907393,3.1293414809738866,0.0,0.0,0.0,3.125279094623126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8025
0.0153,3.122807298360255,3.1236974445865453,3.129345972606743,0.0,0.0,0.0,3.125283571851181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0305,3.1228206137891754,3.123710716315805,3.1293593304435503,0.0,0.0,0.0,3.1252968868495103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0458,3.1228429430119036,3.123732972244735,3.1293817307734653,0.0,0.0,0.0,3.1253192153433678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.061,3.122873995025171,3.12376392230753,3.1294128816539937,0.0,0.0,0.0,3.125350266328898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0763,3.122914179653635,3.1238039749583404,3.1294531941969232,0.0,0.0,0.0,3.1253904496029663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0915,3.122962973195646,3.1238526081835483,3.1295021430109715,0.0,0.0,0.0,3.1254392414633885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1068,3.1230210196292267,3.1239104638059763,3.1295603740955924,0.0,0.0,0.0,3.1254972858435983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1221,3.1230880295514023,3.1239772533265424,3.1296275970935654,0.0,0.0,0.0,3.1255642933238366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1373,3.123163479957004,3.124052455407948,3.129703287299595,0.0,0.0,0.0,3.1256397408881824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1526,3.1232483666436406,3.1241370625094853,3.1297884436330516,0.0,0.0,0.0,3.125724624262059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1678,3.1233415833385654,3.124229971934522,3.129881956259138,0.0,0.0,0.0,3.125817837177408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1831,3.1234443603217525,3.1243324098322245,3.129985059310095,0.0,0.0,0.0,3.125920609821357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1984,3.1235561177769284,3.1244437982136617,3.1300971710693766,0.0,0.0,0.0,3.1260323623533224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2136,3.1236760418444094,3.124563325820733,3.1302174750360234,0.0,0.0,0.0,3.1261522809003885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2289,3.12380571529494,3.1246925700944232,3.130347558925683,0.0,0.0,0.0,3.1262819481050155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2441,3.1239434481882116,3.124829846583901,3.1304857273755062,0.0,0.0,0.0,3.126419674049206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2594,3.1240910583425294,3.124976966971816,3.1306338038727546,0.0,0.0,0.0,3.1265672763957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2746,3.1242466220668184,3.125132013831612,3.1307898585648317,0.0,0.0,0.0,3.126722831487754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2899,3.124412192519355,3.1252970333730756,3.1309559509997174,0.0,0.0,0.0,3.1268883922973827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3052,3.124586782360458,3.1254710413997406,3.131131090624003,0.0,0.0,0.0,3.1270629714614007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3204,3.1247691691963593,3.1256528194588835,3.1313140511002207,0.0,0.0,0.0,3.127245346585154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3357,3.124961760213961,3.125844766553418,3.13150724708007,0.0,0.0,0.0,3.127437924615817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3509,3.1251620455423113,3.1260443810486174,3.1317081606978436,0.0,0.0,0.0,3.127638195762924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3662,3.125372668607379,3.126254297352188,3.131919443554639,0.0,0.0,0.0,3.127848803171402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3815,3.12559234980546,3.126473239969357,3.1321398119063733,0.0,0.0,0.0,3.1280684672270636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3967,3.1258195734723504,3.126699698166409,3.1323677452298906,0.0,0.0,0.0,3.12829567228955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.412,3.1260573385939696,3.126936660638786,3.1326062517434026,0.0,0.0,0.0,3.1285334169920525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4272,3.126302546618277,3.1271810391009063,3.13285222309462,0.0,0.0,0.0,3.1287786029379343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4425,3.126558433911305,3.1274360587666883,3.1331089055788603,0.0,0.0,0.0,3.1290344660856175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4577,3.1268216657697767,3.12769839603048,3.13337295398012,0.0,0.0,0.0,3.129297671926792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.473,3.1270957164644857,3.127971513136676,3.1336478531893133,0.0,0.0,0.0,3.1295716942634915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4883,3.1273788951076846,3.1282537247088267,3.1339319069048566,0.0,0.0,0.0,3.1298548422404564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5035,3.1276692729379807,3.128543108361332,3.1342231802535188,0.0,0.0,0.0,3.130145187184277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5188,3.1279706825454383,3.128843483319162,3.1345255174701014,0.0,0.0,0.0,3.1304465611115675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.534,3.1282791960391836,3.1291509349253666,3.1348349783959772,0.0,0.0,0.0,3.1307550364535093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5493,3.1285988854003004,3.129469520885688,3.135155647330045,0.0,0.0,0.0,3.131074684538678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5646,3.128927763942786,3.129797261073002,3.1354855312840746,0.0,0.0,0.0,3.131403518766621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5798,3.129263605516764,3.130131936798873,3.135822397126431,0.0,0.0,0.0,3.131739313147356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
