energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.67197183636386,2.67197183636386,2.774116948998876,0.0,0.0,0.0,2.7060202072421986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.859500000000001
0.0156,2.6719743045446105,2.6719743045446105,2.774119857211131,0.0,0.0,0.0,2.7060228221001172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0311,2.671981645963631,2.671981645963631,2.7741285074819957,0.0,0.0,0.0,2.706030599803086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0467,2.6719939555364376,2.6719939555364376,2.774143011682286,0.0,0.0,0.0,2.7060436409183866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0622,2.672011075757724,2.672011075757724,2.7741631842809626,0.0,0.0,0.0,2.7060617785988037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0778,2.672033227970919,2.672033227970919,2.7741892861629527,0.0,0.0,0.0,2.706085247368263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0933,2.6720601287307613,2.6720601287307613,2.774220983445142,0.0,0.0,0.0,2.7061137469688883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1089,2.6720921258311288,2.6720921258311288,2.774258686057207,0.0,0.0,0.0,2.7061476459064884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1245,2.6721290623627594,2.6721290623627594,2.774302209258763,0.0,0.0,0.0,2.7061867779947604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.14,2.6721706550916116,2.6721706550916116,2.774351219471445,0.0,0.0,0.0,2.7062308432182225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1556,2.6722174417611013,2.6722174417611013,2.7744063505275705,0.0,0.0,0.0,2.7062804113499244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1711,2.672268823720311,2.672268823720311,2.774466897217475,0.0,0.0,0.0,2.7063348482193654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1867,2.672325465275925,2.672325465275925,2.7745336425714795,0.0,0.0,0.0,2.7063948577077768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2023,2.6723870522214073,2.6723870522214073,2.7746062166008256,0.0,0.0,0.0,2.7064601070145464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2178,2.67245314387333,2.67245314387333,2.7746841002724496,0.0,0.0,0.0,2.706530129339703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
