energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,6.711722280127385,6.711722280127385,6.5864082036862,0.0,0.0,0.0,6.6699509213136565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8202999999999996
0.0124,6.711766293265791,6.711766293265791,6.5864438722418495,0.0,0.0,0.0,6.669992152924476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0248,6.711898339063992,6.711898339063992,6.586550881661867,0.0,0.0,0.0,6.670115853263283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0372,6.7121184366743405,6.7121184366743405,6.5867292432067135,0.0,0.0,0.0,6.670322038851798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0496,6.712426618027602,6.712426618027602,6.586978975647676,0.0,0.0,0.0,6.670610737234294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0621,6.71282648226576,6.71282648226576,6.587302985328364,0.0,0.0,0.0,6.670985316619962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0745,6.713311689540471,6.713311689540471,6.587696122165038,0.0,0.0,0.0,6.67143983374866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0869,6.713885153825984,6.713885153825984,6.588160731711553,0.0,0.0,0.0,6.671977013121174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0993,6.7145469584867445,6.7145469584867445,6.588696862925774,0.0,0.0,0.0,6.672596926633088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1117,6.715297199805137,6.715297199805137,6.589304572329631,0.0,0.0,0.0,6.673299657313302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1241,6.716135987028073,6.716135987028073,6.589983924026487,0.0,0.0,0.0,6.674085299360878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1365,6.717063442419905,6.717063442419905,6.590734989721593,0.0,0.0,0.0,6.674953958187134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1489,6.718079701322172,6.718079701322172,6.591557848744389,0.0,0.0,0.0,6.675905750462911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1613,6.719184912219218,6.719184912219218,6.592452588073488,0.0,0.0,0.0,6.676940804170641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1737,6.72037923681085,6.72037923681085,6.59341930236415,0.0,0.0,0.0,6.67805925866195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
