energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,9.094136534988714,9.094136534988714,8.586334351167366,0.0,0.0,0.0,8.924869140381597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1693999999999996
0.0119,9.094242907586873,9.094242907586873,8.58640964235795,0.0,0.0,0.0,8.924965152510564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0239,9.094565637370632,9.094565637370632,8.586638065135173,0.0,0.0,0.0,8.925256446625479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0358,9.095099431478488,9.095099431478488,8.587015851355218,0.0,0.0,0.0,8.925738238104065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0478,9.095853406296502,9.095853406296502,8.58754941599172,0.0,0.0,0.0,8.926418742861575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0597,9.096815196634449,9.096815196634449,8.588229957227934,0.0,0.0,0.0,8.927286783498944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0717,9.098001228790212,9.098001228790212,8.589069031051324,0.0,0.0,0.0,8.92835716287725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0836,9.099392052440797,9.099392052440797,8.590052796048266,0.0,0.0,0.0,8.929612300309953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0955,9.10099702647273,9.10099702647273,8.59118777844996,0.0,0.0,0.0,8.93106061046514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1075,9.10283278238351,9.10283278238351,8.592485624639057,0.0,0.0,0.0,8.932717063135359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1194,9.104869216919383,9.104869216919383,8.593924925841595,0.0,0.0,0.0,8.934554453226786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1314,9.107141114260658,9.107141114260658,8.59553012332088,0.0,0.0,0.0,8.936604117280732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1433,9.109611221672237,9.109611221672237,8.597274739002888,0.0,0.0,0.0,8.938832394115787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1553,9.112321733930074,9.112321733930074,8.599188399596757,0.0,0.0,0.0,8.941277289152302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1672,9.115228209869265,9.115228209869265,8.601239539804517,0.0,0.0,0.0,8.943898653181016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1791,9.11835311514175,9.11835311514175,8.603443819522372,0.0,0.0,0.0,8.946716683268624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1911,9.121726336171893,9.121726336171893,8.60582208461436,0.0,0.0,0.0,8.949758252319382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
