energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,4.043442304525302,4.043442304525302,4.176109678633987,0.0,0.0,0.0,4.08766476256153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.797
0.0156,4.04345601263032,4.04345601263032,4.176124428574273,0.0,0.0,0.0,4.087678817944971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0311,4.04349678728363,4.04349678728363,4.176168302210977,0.0,0.0,0.0,4.087720625592746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0467,4.0435651584333545,4.0435651584333545,4.176241869927802,0.0,0.0,0.0,4.087790728931504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0622,4.04366025584295,4.04366025584295,4.176344195607011,0.0,0.0,0.0,4.087888235764304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0778,4.0437833154961185,4.0437833154961185,4.176476609547367,0.0,0.0,0.0,4.088014413513201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0934,4.043933823312275,4.043933823312275,4.176638559072169,0.0,0.0,0.0,4.08816873523224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1089,4.044110565078318,4.044110565078318,4.176828738232582,0.0,0.0,0.0,4.08834995612974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1245,4.04431583792746,4.04431583792746,4.177049619496712,0.0,0.0,0.0,4.088560431783877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1401,4.0445486088872595,4.0445486088872595,4.177300092159658,0.0,0.0,0.0,4.088799103311392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1556,4.044807143587948,4.044807143587948,4.177578290832004,0.0,0.0,0.0,4.0890641926693005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1712,4.045094802271427,4.045094802271427,4.1778878323422735,0.0,0.0,0.0,4.089359145628376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1867,4.045407923668498,4.045407923668498,4.178224778007893,0.0,0.0,0.0,4.089680208448296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2023,4.045750577537053,4.045750577537053,4.178593508465406,0.0,0.0,0.0,4.09003155451317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2179,4.0461208643900655,4.0461208643900655,4.17899198105952,0.0,0.0,0.0,4.090411236613217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2334,4.046516179928181,4.046516179928181,4.179417394635381,0.0,0.0,0.0,4.0908165848305815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.249,4.046941662308752,4.046941662308752,4.179875280108584,0.0,0.0,0.0,4.091252868242029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
