energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.5921859133172145,3.5921859133172145,3.640787495079778,0.0,0.0,0.0,3.6083864405714023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9506999999999999
0.0151,3.592195169449727,3.592195169449727,3.6407970549846445,0.0,0.0,0.0,3.608395797961366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0302,3.592222938623233,3.592222938623233,3.6408257355223164,0.0,0.0,0.0,3.6084238709229273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0454,3.592269591408939,3.592269591408939,3.640873919491849,0.0,0.0,0.0,3.6084710341032427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0605,3.5923345178620374,3.5923345178620374,3.6409409770386376,0.0,0.0,0.0,3.608536670920904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0756,3.5924179690413895,3.5924179690413895,3.6410271676134807,0.0,0.0,0.0,3.608621035232087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0907,3.5925199519480837,3.5925199519480837,3.6411324986430005,0.0,0.0,0.0,3.6087241341797225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1058,3.5926404751411813,3.5926404751411813,3.641256979206594,0.0,0.0,0.0,3.608845976496319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1209,3.592779548740219,3.592779548740219,3.641400620039377,0.0,0.0,0.0,3.6089865725066055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1361,3.592938290273054,3.592938290273054,3.641564575707155,0.0,0.0,0.0,3.609147052084421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1512,3.59311462436441,3.59311462436441,3.641746703039149,0.0,0.0,0.0,3.609325317255989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1663,3.593309548721089,3.593309548721089,3.6419480329267286,0.0,0.0,0.0,3.6095223767896356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1814,3.593523079751715,3.593523079751715,3.642168582778737,0.0,0.0,0.0,3.609738247427389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1965,3.593755235446031,3.593755235446031,3.64240837168238,0.0,0.0,0.0,3.6099729475248137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2116,3.5940060353805805,3.5940060353805805,3.6426674204094343,0.0,0.0,0.0,3.6102264970568654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
