energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.440407484696749,3.440407484696749,3.8217448637055513,0.0,0.0,0.0,3.5675199443663494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.324
0.0157,3.440416796916612,3.440416796916612,3.821756077005625,0.0,0.0,0.0,3.567529890279616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0313,3.4404444973531487,3.4404444973531487,3.8217894324534836,0.0,0.0,0.0,3.567559475719927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.047,3.4404909431144306,3.4404909431144306,3.8218453600463396,0.0,0.0,0.0,3.5676090820917334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0626,3.4405555457963644,3.4405555457963644,3.8219231512350964,0.0,0.0,0.0,3.5676780809426085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0783,3.4406391382439225,3.4406391382439225,3.822023808855595,0.0,0.0,0.0,3.5677673617811467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0939,3.4407406614573546,3.4407406614573546,3.822146057674371,0.0,0.0,0.0,3.567875793529693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1096,3.440861424256933,3.440861424256933,3.8222914736511884,0.0,0.0,0.0,3.568004774055018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1252,3.4409998967507414,3.4409998967507414,3.8224582145131993,0.0,0.0,0.0,3.5681526693382275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1409,3.4411578641091,3.4411578641091,3.8226484297925887,0.0,0.0,0.0,3.5683213860035963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1565,3.4413333251194382,3.4413333251194382,3.8228597096641734,0.0,0.0,0.0,3.56850878663435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1722,3.4415285418134633,3.4415285418134633,3.8230947778445694,0.0,0.0,0.0,3.5687172871571655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1878,3.441741041097065,3.441741041097065,3.8233506562847253,0.0,0.0,0.0,3.5689442461596186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2035,3.4419735625119845,3.4419735625119845,3.8236306436620096,0.0,0.0,0.0,3.569192589561993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2191,3.4422231603886813,3.4422231603886813,3.823931192872746,0.0,0.0,0.0,3.569459171216703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2348,3.4424930525652493,3.4424930525652493,3.82425617849615,0.0,0.0,0.0,3.5697474278755497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2504,3.442779819969462,3.442779819969462,3.824601483383587,0.0,0.0,0.0,3.57005370777417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2661,3.443087159660466,3.443087159660466,3.824971559122737,0.0,0.0,0.0,3.570381959481223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2817,3.4434111782018926,3.4434111782018926,3.825361717369025,0.0,0.0,0.0,3.5707280245909367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2974,3.4437560529378537,3.4437560529378537,3.825776987991808,0.0,0.0,0.0,3.5710963646225053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.313,3.444117414971489,3.444117414971489,3.826212110138084,0.0,0.0,0.0,3.571482313360354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
