energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.4115615183282273,2.4769494565871444,2.4589850516698433,0.0,0.0,0.01575157274395698,2.4491653421950716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6603
0.0148,2.4115635521672427,2.4769515853095965,2.4589871837919244,0.0,0.0,0.015751619394537605,2.449167440422921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0297,2.411569708801883,2.4769580291632733,2.4589936379390815,0.0,0.0,0.01575176061182262,2.449173791968079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0445,2.411579905759893,2.4769687018204056,2.4590043276531315,0.0,0.0,0.0157519945079778,2.4491843117444767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0594,2.4115942811191546,2.476983747787001,2.459019397683573,0.0,0.0,0.01575232425671803,2.449199142196576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0742,2.4116126423120594,2.477002965493571,2.45903864615594,0.0,0.0,0.015752745449868433,2.449218084653857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0891,2.411635237969209,2.4770266151447107,2.459062333714014,0.0,0.0,0.01575326380256449,2.4492413956093113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1039,2.4116617654066923,2.477054379908267,2.4590901430452154,0.0,0.0,0.015753872385328403,2.449268762786725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1187,2.4116923632468916,2.477086404838534,2.4591222194683704,0.0,0.0,0.01575457439482756,2.4493003291845987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1336,2.411727280421409,2.477122950436308,2.4591588239415763,0.0,0.0,0.01575537556223465,2.4493363515997646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1484,2.4117660491918236,2.47716352710408,2.4591994661209546,0.0,0.0,0.015756265177359792,2.449376347472286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1633,2.4118091945304094,2.477208684243981,2.4592446963435064,0.0,0.0,0.015757255311376533,2.4494208583726325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1781,2.4118561384775763,2.4772578168910018,2.459293908717607,0.0,0.0,0.015758332727980624,2.4494692880287285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.193,2.4119075167071715,2.477311590294517,2.459347769630123,0.0,0.0,0.015759512046662986,2.4495222922106037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2078,2.4119626409754185,2.4773692840590815,2.4594055575758507,0.0,0.0,0.01576077750211196,2.4495791608701167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2227,2.412022257727738,2.477431679351177,2.4594680550647148,0.0,0.0,0.015762146265381097,2.4496406640478767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2375,2.412085568361073,2.477497940269899,2.459534424899407,0.0,0.0,0.015763600038702637,2.44970597784346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2523,2.4121529609318353,2.4775684728762766,2.4596050738823276,0.0,0.0,0.015765147771092017,2.44977550256348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2672,2.4122249341190387,2.4776437989908464,2.459680524782663,0.0,0.0,0.015766800960565947,2.4498497526308496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.282,2.4123005237996007,2.4777229094821145,2.459759766885313,0.0,0.0,0.015768537507264122,2.4499277333890093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2969,2.412380753547579,2.4778068754997724,2.459843873216033,0.0,0.0,0.015770380974770487,2.4500105007544617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3117,2.412464548640152,2.477894572166627,2.459931717116317,0.0,0.0,0.01577230671971141,2.4500969459743653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3266,2.4125530437643503,2.4779871868902665,2.4600244880918805,0.0,0.0,0.015774340873084405,2.450188239582166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3414,2.412645053480114,2.4780834789303627,2.4601209434179627,0.0,0.0,0.01577645624259194,2.45028315860948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3562,2.412741160400338,2.4781840579032406,2.4602216938503654,0.0,0.0,0.015778666277554445,2.4503823040513146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
