energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.8460037889554988,2.8460037889554988,2.8460037889554988,0.0,0.0,0.0,2.8460037889554983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.325200000000001
0.014,2.846007330416204,2.846007330416204,2.846007330416204,0.0,0.0,0.0,2.8460073304162044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.028,2.8460179549224662,2.8460179549224662,2.8460179549224662,0.0,0.0,0.0,2.8460179549224662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0419,2.8460355112430697,2.8460355112430697,2.8460355112430697,0.0,0.0,0.0,2.8460355112430697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0559,2.8460602526032277,2.8460602526032277,2.8460602526032277,0.0,0.0,0.0,2.846060252603228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0699,2.8460920788645296,2.8460920788645296,2.8460920788645296,0.0,0.0,0.0,2.8460920788645296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0839,2.846130991143054,2.846130991143054,2.846130991143054,0.0,0.0,0.0,2.846130991143054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0978,2.846176637099612,2.846176637099612,2.846176637099612,0.0,0.0,0.0,2.846176637099612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1118,2.846229675113691,2.846229675113691,2.846229675113691,0.0,0.0,0.0,2.846229675113691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1258,2.846289803971743,2.846289803971743,2.846289803971743,0.0,0.0,0.0,2.846289803971743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
