energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.8537714720245577,2.8189613480567433,2.781855776810489,0.0,0.0,0.0,2.8181961989639297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0745000000000005
0.0182,2.853775840125433,2.818965588650939,2.7818598687002005,0.0,0.0,0.0,2.8182004324921905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0365,2.853789040738226,2.8189784039296555,2.7818722345830293,0.0,0.0,0.0,2.81821322641697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0547,2.853810930118833,2.818999654336743,2.781892739785281,0.0,0.0,0.0,2.818234441413619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.073,2.8538417496915267,2.8190295742354667,2.781921610432576,0.0,0.0,0.0,2.81826431145319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0912,2.8538811638560224,2.819067837803449,2.781958532102176,0.0,0.0,0.0,2.818302511253883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1094,2.853929318588438,2.819114586731484,2.782003641482062,0.0,0.0,0.0,2.818349182267328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1277,2.853986552581924,2.819170149794967,2.7820572557746335,0.0,0.0,0.0,2.818404652717175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1459,2.854052242605339,2.8192339219228235,2.7821187910812712,0.0,0.0,0.0,2.8184683185364783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1641,2.854126680009321,2.819306185919766,2.782188520231383,0.0,0.0,0.0,2.8185404620534897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1824,2.8542103490122135,2.8193874118190463,2.7822668967044795,0.0,0.0,0.0,2.8186215525119134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2006,2.854302338529595,2.819476715088329,2.7823530669256495,0.0,0.0,0.0,2.818710706847858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2189,2.85440366314557,2.8195750806270476,2.7824479811604306,0.0,0.0,0.0,2.8188089083110164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2371,2.8545132195233833,2.8196814372580477,2.7825506057279874,0.0,0.0,0.0,2.8189150875031395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2553,2.8546315416566648,2.819796303313531,2.782661440680072,0.0,0.0,0.0,2.8190297618834226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2736,2.8547593568134393,2.8199203847427725,2.7827811670845133,0.0,0.0,0.0,2.8191536362135747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2918,2.8548952732034643,2.820052330333805,2.7829084810436084,0.0,0.0,0.0,2.8192853615269597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3101,2.8550407899052677,2.8201935952847488,2.7830447865548864,0.0,0.0,0.0,2.819426390581634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3283,2.8551943223798855,2.820342641264501,2.783188599167673,0.0,0.0,0.0,2.81957518760402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3465,2.8553566478076045,2.820500222651858,2.7833406466448105,0.0,0.0,0.0,2.819732505701424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3648,2.8555287372450184,2.820667282017701,2.783501838306748,0.0,0.0,0.0,2.8198992858564886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.383,2.855708716811482,2.8208420001472927,2.783670418685996,0.0,0.0,0.0,2.8200737118815904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4013,2.855898571594558,2.8210263039841204,2.7838482468745593,0.0,0.0,0.0,2.8202577074844126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4195,2.8560962342753777,2.8212181865354395,2.7840333862310223,0.0,0.0,0.0,2.8204492690139467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4377,2.856302726013131,2.8214186389831672,2.7842267929414515,0.0,0.0,0.0,2.82064938597925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
