energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.338933153407143,2.345969672240259,2.3674332545234993,0.0,0.0,0.035430289927540874,2.3507786933903003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.518099999999999
0.0162,2.3389345755551925,2.345971092949847,2.3674347180368462,0.0,0.0,0.03543035032965827,2.3507801288472954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0323,2.3389388069621537,2.3459753200764153,2.3674390725206287,0.0,0.0,0.035430530047927185,2.3507843998530658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0485,2.3389459002627593,2.345982406200191,2.367446372140644,0.0,0.0,0.03543083131797199,2.3507915595345312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0646,2.338955768002143,2.3459922639526933,2.3674565268984424,0.0,0.0,0.03543125042552946,2.3508015196177596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0808,2.338968532925712,2.346005015952148,2.3674696631099357,0.0,0.0,0.03543179258413214,2.350814403995932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0969,2.3389840376519526,2.346020504972606,2.367485618816226,0.0,0.0,0.03543245110967848,2.350830053813595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1131,2.3390024750451106,2.346038923678284,2.3675045924917413,0.0,0.0,0.035433234193966316,2.3508486637383785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1292,2.3390236177866037,2.346060044975541,2.3675263502064103,0.0,0.0,0.035434132182598985,2.3508700043228514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1454,2.339047728872343,2.3460841315872054,2.3675511626063805,0.0,0.0,0.035435156246201346,2.3508943410219763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1615,2.339074511031635,2.3461108865371783,2.36757872377492,0.0,0.0,0.035436293759420916,2.350921373781244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1777,2.339104297409562,2.3461406426240217,2.3676093765479256,0.0,0.0,0.03543755887247561,2.3509514388605033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
